model_name,i_par,parameter_name,moment,value
model4_g_lin,0,k01,mean,1
model4_g_lin,1,k10,mean,2
model4_g_lin,2,k12,mean,1
model4_g_lin,3,k21,mean,2
model4_g_lin,4,k23,mean,1
model4_g_lin,5,k32,mean,2
model4_g_lin,6,k34,mean,2
model4_g_lin,7,k43,mean,2
model4_g_lin,8,k45,mean,2
model4_g_lin,9,k54,mean,2
model4_g_lin,10,k46,mean,2
model4_g_lin,11,k64,mean,2
model4_g_lin,12,k57,mean,2
model4_g_lin,13,k75,mean,2
model4_g_lin,14,k67,mean,2
model4_g_lin,15,k08,mean,-3
model4_g_lin,16,unitary_current,mean,0
model4_g_lin,17,Num_ch,mean,-3
model4_g_lin,18,Current_Noise,mean,0.6989700043360189
model4_g_lin,19,Pink_Noise,mean,-2
model4_g_lin,20,Proportional_Noise,mean,0
model4_g_lin,21,Current_Baseline,mean,3.698970004336019
