model_name,i_par,parameter_name,moment,value
model6_Eff_no_inactivation,0,Binding_Act_on,mean,9.279999999999999
model6_Eff_no_inactivation,1,Binding_Act_off,mean,1871
model6_Eff_no_inactivation,2,Rocking_on_B,mean,3875
model6_Eff_no_inactivation,3,Rocking_off_B,mean,1.07
model6_Eff_no_inactivation,4,Gating_on_BR,mean,914
model6_Eff_no_inactivation,5,Gating_off_BR,mean,776
model6_Eff_no_inactivation,6,BR,mean,74.86499999999998
model6_Eff_no_inactivation,7,BR_Bon,mean,1.15
model6_Eff_no_inactivation,8,BR_Ron,mean,33.3
model6_Eff_no_inactivation,9,BG,mean,1.77
model6_Eff_no_inactivation,10,BG_Bon,mean,0.77
model6_Eff_no_inactivation,11,BG_Gon,mean,1.77
model6_Eff_no_inactivation,12,RG,mean,123
model6_Eff_no_inactivation,13,RG_Ron,mean,123
model6_Eff_no_inactivation,14,RG_Gon,mean,635
model6_Eff_no_inactivation,15,Gating_Current,mean,1
model6_Eff_no_inactivation,16,Current_Noise,mean,0.001
model6_Eff_no_inactivation,17,Pink_Noise,mean,5
model6_Eff_no_inactivation,18,Proportional_Noise,mean,0.01
model6_Eff_no_inactivation,19,Current_Baseline,mean,1
model6_Eff_no_inactivation,20,Num_ch,mean,4800
