model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
model6_Eff_no_inactivation,0,Binding_Act_on,Log10,9.279999999999999,0.967547976218862,2
model6_Eff_no_inactivation,1,Binding_Act_off,Log10,1871,3.27207378750001,2
model6_Eff_no_inactivation,2,Rocking_on_B,Log10,3874.999999999998,3.588271706842329,2
model6_Eff_no_inactivation,3,Rocking_off_B,Log10,1.07,0.02938377768520967,2
model6_Eff_no_inactivation,4,Gating_on_BR,Log10,914.0000000000006,2.960946195733832,2
model6_Eff_no_inactivation,5,Gating_off_BR,Log10,776.0000000000001,2.889861721258189,2
model6_Eff_no_inactivation,6,BR,Log10,74.86499999999998,1.874278828921804,2
model6_Eff_no_inactivation,7,BR_Bon,Log10,1.15,0.06069784035361165,2
model6_Eff_no_inactivation,8,BR_Ron,Log10,33.29999999999999,1.52244423350632,2
model6_Eff_no_inactivation,9,BG,Log10,1.77,0.2479732663618066,2
model6_Eff_no_inactivation,10,BG_Bon,Log10,0.77,-0.1135092748275181,2
model6_Eff_no_inactivation,11,BG_Gon,Log10,1.77,0.2479732663618066,2
model6_Eff_no_inactivation,12,RG,Log10,123,2.089905111439398,2
model6_Eff_no_inactivation,13,RG_Ron,Log10,123,2.089905111439398,2
model6_Eff_no_inactivation,14,RG_Gon,Log10,634.9999999999998,2.802773725291976,2
model6_Eff_no_inactivation,15,Gating_Current,Log10,1,0,2
model6_Eff_no_inactivation,16,Current_Noise,Log10,0.001,-3,2
model6_Eff_no_inactivation,17,Pink_Noise,Log10,5.000000000000001,0.6989700043360189,2
model6_Eff_no_inactivation,18,Proportional_Noise,Log10,0.01,-2,2
model6_Eff_no_inactivation,19,Current_Baseline,Linear,1,1,2
model6_Eff_no_inactivation,20,Num_ch,Log10,4799.999999999999,3.681241237375587,2
