model_name,i_par,parameter_name,moment,value
model6_no_inactivation,0,Binding_on,mean,1
model6_no_inactivation,1,Binding_off,mean,3
model6_no_inactivation,2,Rocking_on,mean,3
model6_no_inactivation,3,Rocking_off,mean,5
model6_no_inactivation,4,Gating_on,mean,0
model6_no_inactivation,5,Gating_off,mean,2
model6_no_inactivation,6,BR,mean,2
model6_no_inactivation,7,BR_0,mean,0
model6_no_inactivation,8,BR_1,mean,0
model6_no_inactivation,9,BG,mean,0
model6_no_inactivation,10,BG_0,mean,0
model6_no_inactivation,11,BG_1,mean,0
model6_no_inactivation,12,RG,mean,2
model6_no_inactivation,13,RG_0,mean,0
model6_no_inactivation,14,RG_1,mean,0
model6_no_inactivation,15,Gating_Current,mean,0
model6_no_inactivation,16,Current_Noise,mean,-3
model6_no_inactivation,17,Pink_Noise,mean,0
model6_no_inactivation,18,Proportional_Noise,mean,3.698970004336019
