model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
model6_no_inactivation,0,Binding_on,Log10,10,1,2
model6_no_inactivation,1,Binding_off,Log10,1000,3,2
model6_no_inactivation,2,Rocking_on,Log10,1000,3,2
model6_no_inactivation,3,Rocking_off,Log10,100000,5,2
model6_no_inactivation,4,Gating_on,Log10,1,0,2
model6_no_inactivation,5,Gating_off,Log10,100,2,2
model6_no_inactivation,6,BR,Log10,100,2,2
model6_no_inactivation,7,BR_0,Log10,1,0,2
model6_no_inactivation,8,BR_1,Log10,1,0,2
model6_no_inactivation,9,BG,Log10,1,0,2
model6_no_inactivation,10,BG_0,Log10,1,0,2
model6_no_inactivation,11,BG_1,Log10,1,0,2
model6_no_inactivation,12,RG,Log10,100,2,2
model6_no_inactivation,13,RG_0,Log10,1,0,2
model6_no_inactivation,14,RG_1,Log10,1,0,2
model6_no_inactivation,15,Gating_Current,Log10,1,0,2
model6_no_inactivation,16,Current_Noise,Log10,0.001,-3,2
model6_no_inactivation,17,Pink_Noise,Linear,1,1,2
model6_no_inactivation,18,Proportional_Noise,Log10,4999.999999999999,3.698970004336019,2
