i_par,moment,value  
0,mean,0.967547976218862
1,mean,3.27207378750001
2,mean,3.588271706842329
3,mean,0.02938377768520967
4,mean,2.960946195733832
5,mean,2.889861721258189
6,mean,1.874278828921804
7,mean,0.06069784035361165
8,mean,1.52244423350632
9,mean,0.2479732663618066
10,mean,-0.1135092748275181
11,mean,0.2479732663618066
12,mean,2.089905111439398
13,mean,2.089905111439398
14,mean,2.802773725291976
15,mean,0
16,mean,3.681241237375587
17,mean,-3
18,mean,0
0,covar,2
1,covar,2
2,covar,2
3,covar,2
4,covar,2
5,covar,2
6,covar,2
7,covar,2
8,covar,2
9,covar,2
10,covar,2
11,covar,2
12,covar,2
13,covar,2
14,covar,2
15,covar,2
16,covar,2
17,covar,2
18,covar,2
