model_name,i_par,parameter_name,moment,value
scheme_4,0,kon_0,mean,1.203576774977973
scheme_4,1,koff_0,mean,-1.721246399047171
scheme_4,2,kon_1,mean,1.212187604403958
scheme_4,3,koff_1,mean,2.57978359661681
scheme_4,4,kon_2,mean,1.064457989226919
scheme_4,5,koff_2,mean,3.833911715071379
scheme_4,6,flipping_on,mean,3.57030938543588
scheme_4,7,flipping_off,mean,1.638888424705075
scheme_4,8,gating_on_0,mean,2.732393759822969
scheme_4,9,gating_off_0,mean,3.036628895362161
scheme_4,10,gating_on_1,mean,-1.481486060122112
scheme_4,11,gating_off_1,mean,-0.6090648928966209
scheme_4,12,desensitization_on_0,mean,1.493597449000527
scheme_4,13,desensitization_off_0,mean,1.897627091290441
scheme_4,14,desensitization_on_1,mean,0.6560982020128319
scheme_4,15,unitary_current,mean,0
scheme_4,16,Current_Noise,mean,-3
scheme_4,17,Current_Baseline,mean,0
scheme_4,18,Num_ch_mean,mean,3.698970004336019
