model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_13,0,Binding_on,Log10,10,1
scheme_13,1,Binding_off,Log10,100,2
scheme_13,2,Rocking_on,Log10,100,2
scheme_13,3,Rocking_off,Log10,100,2
scheme_13,4,Gating_on,Log10,100,2
scheme_13,5,Gating_off,Log10,100,2
scheme_13,6,RB,Log10,10,1
scheme_13,7,RB_0,Log10,1,0
scheme_13,8,RB_1,Log10,1,0
scheme_13,9,RG,Log10,100,2
scheme_13,10,RG_0,Log10,10,1
scheme_13,11,RG_1,Log10,10,1
scheme_13,12,Gating_Current,Log10,1,0
scheme_13,13,Current_Noise,Log10,0.001,-3
scheme_13,14,Pink_Noise,Log10,5,0.6989700043360189
scheme_13,15,Proportional_Noise,Fixed,0,0
scheme_13,16,Current_Baseline,Log10,1,0
scheme_13,17,Num_ch,Log10,4800,3.681241237375587
