model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_13_inact,0,Binding_on,Log10,10,1,2
scheme_13_inact,1,Binding_off,Log10,100,2,2
scheme_13_inact,2,Rocking_on,Log10,100,2,2
scheme_13_inact,3,Rocking_off,Log10,100,2,2
scheme_13_inact,4,Gating_on,Log10,100,2,2
scheme_13_inact,5,Gating_off,Log10,100,2,2
scheme_13_inact,6,RB,Log10,10,1,2
scheme_13_inact,7,RB_0,Log10,1,0,2
scheme_13_inact,8,RB_1,Log10,1,0,2
scheme_13_inact,9,RG,Log10,100,2,2
scheme_13_inact,10,RG_0,Log10,10,1,2
scheme_13_inact,11,RG_1,Log10,10,1,2
scheme_13_inact,12,Gating_Current,Log10,1,0,2
scheme_13_inact,13,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_13_inact,14,Pink_Noise,Fixed,0,0,0
scheme_13_inact,15,Proportional_Noise,Fixed,0,0,0
scheme_13_inact,16,Current_Baseline,Log10,1,0,2
scheme_13_inact,17,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
scheme_13_inact,18,inactivation_rate,Log10,1.00000000000000008e-05,-5,2
