model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_14,0,Binding_on,Log10,10,1,2
scheme_14,1,Binding_off,Log10,100,2,2
scheme_14,2,Rocking_on,Log10,100,2,2
scheme_14,3,Rocking_off,Log10,100,2,2
scheme_14,4,Gating_on,Log10,100,2,2
scheme_14,5,Gating_off,Log10,100,2,2
scheme_14,6,RB,Log10,100,2,2
scheme_14,7,RB_0,Log10,10,1,2
scheme_14,8,RB_1,Log10,10,1,2
scheme_14,9,BR,Log10,10,1,2
scheme_14,10,BR_0,Log10,1,0,2
scheme_14,11,BR_1,Log10,1,0,2
scheme_14,12,RG,Log10,100,2,2
scheme_14,13,RG_0,Log10,10,1,2
scheme_14,14,RG_1,Log10,10,1,2
scheme_14,15,Gating_Current,Log10,1,0,2
scheme_14,16,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_14,17,Pink_Noise,Log10,5.00000000000000089,0.698970004336018857,2
scheme_14,18,Proportional_Noise,Log10,0.0100000000000000002,-2,2
scheme_14,19,Current_Baseline,Log10,1,0,2
scheme_14,20,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
