model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_4,0,kon_0,Log10,10,1,2
scheme_4,1,koff_0,Log10,100,2,2
scheme_4,2,kon_1,Log10,10,1,2
scheme_4,3,koff_1,Log10,100,2,2
scheme_4,4,kon_2,Log10,10,1,2
scheme_4,5,koff_2,Log10,100,2,2
scheme_4,6,flipping_on,Log10,100,2,2
scheme_4,7,flipping_off,Log10,100,2,2
scheme_4,8,gating_on_0,Log10,10,1,2
scheme_4,9,gating_off_0,Log10,10,1,2
scheme_4,10,gating_on_1,Log10,1000,3,2
scheme_4,11,gating_off_1,Log10,1000,3,2
scheme_4,12,desensitization_on_0,Log10,100,2,2
scheme_4,13,desensitization_off_0,Log10,100,2,2
scheme_4,14,desensitization_on_1,Log10,100,2,2
scheme_4,15,unitary_current,Log10,1,0,2
scheme_4,16,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_4,17,Pink_Noise,Fixed,0,0,0
scheme_4,18,Proportional_Noise,Fixed,0,0,0
scheme_4,19,Current_Baseline,Log10,1,0,2
scheme_4,20,Num_ch_mean,Log10,4999.99999999999909,3.69897000433601875,2
