model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_10_inact,0,Binding_on,Log10,6.52047724823568,0.814279383874548
scheme_10_inact,1,Binding_off,Log10,1328.03225824306,3.12320862428411
scheme_10_inact,2,Rocking_on,Log10,1846.81313621536,3.26642295498759
scheme_10_inact,3,Rocking_off,Log10,156.023361001464,2.19318962908815
scheme_10_inact,4,RB,Log10,632.661032684483,2.80117108590333
scheme_10_inact,5,RB_0,Log10,24544.8578323152,4.38996052094109
scheme_10_inact,6,RB_1,Log10,6.24890931662718,0.795804222287159
scheme_10_inact,7,BR,Log10,1.6123851394752,0.207468786830517
scheme_10_inact,8,BR_0,Log10,0.00698609829952554,-2.15576530781358
scheme_10_inact,9,BR_1,Log10,2.24149182318064,0.350537158926101
scheme_10_inact,10,Rocking_Current_factor,Log10,744.475687769821,2.87185051963042
scheme_10_inact,11,Leakeage_current_ratio,Log10,6.10340372235075E-07,-6.21442790178024
scheme_10_inact,12,Gating_Current,Log10,2.61218827677633,0.417004476055643
scheme_10_inact,13,Current_Noise,Log10,0.000314885146803473,-3.5018478246395
scheme_10_inact,14,Pink_Noise,Log10,3.08119000113705,0.488718479849281
scheme_10_inact,15,Proportional_Noise,Fixed,0,0
scheme_10_inact,16,Current_Baseline,Linear,2.14178404687537,2.14178404687537
scheme_10_inact,17,Num_ch,Log10,925.02029050474,2.96615125917968
scheme_10_inact,18,inactivation_rate,Log10,0.000334023499660045,-3.47622297805768
