model_name,i_par,parameter_name,moment,value
model00_7,0,kon,mean,1
model00_7,1,koff,mean,2.301029995663981
model00_7,2,gatin_on,mean,3.176091259055681
model00_7,3,gating_off,mean,1.698970004336019
model00_7,4,inactivation_rate,mean,-5
model00_7,5,unitary_current,mean,0
model00_7,6,Current_Noise,mean,-3
model00_7,7,Current_Baseline,mean,0
model00_7,8,Num_ch_mean,mean,3.698970004336019
model00_7,0,kon,covar,2
model00_7,1,koff,covar,2
model00_7,2,gatin_on,covar,2
model00_7,3,gating_off,covar,2
model00_7,4,inactivation_rate,covar,2
model00_7,5,unitary_current,covar,2
model00_7,6,Current_Noise,covar,2
model00_7,7,Current_Baseline,covar,2
model00_7,8,Num_ch_mean,covar,2
