model_name,i_par,parameter_name,moment,value
model6,0,Binding_on,mean,1
model6,1,Binding_off,mean,4
model6,2,Rocking_on,mean,2
model6,3,Rocking_off,mean,4
model6,4,Gating_on,mean,0
model6,5,Gating_off,mean,4
model6,6,BR,mean,1
model6,7,BR_0,mean,0
model6,8,BR_1,mean,0
model6,9,BG,mean,1
model6,10,BG_0,mean,0
model6,11,BG_1,mean,0
model6,12,RG,mean,1
model6,13,RG_0,mean,0
model6,14,RG_1,mean,0
model6,15,Gating_Current,mean,0
model6,16,Inactivation_rate,mean,-3
model6,17,Current_Noise,mean,-3
model6,18,Current_Baseline,mean,0
model6,19,Num_ch,mean,3.698970004336019
model6,0,Binding_on,covar,2
model6,1,Binding_off,covar,2
model6,2,Rocking_on,covar,2
model6,3,Rocking_off,covar,2
model6,4,Gating_on,covar,2
model6,5,Gating_off,covar,2
model6,6,BR,covar,2
model6,7,BR_0,covar,2
model6,8,BR_1,covar,2
model6,9,BG,covar,2
model6,10,BG_0,covar,2
model6,11,BG_1,covar,2
model6,12,RG,covar,2
model6,13,RG_0,covar,2
model6,14,RG_1,covar,2
model6,15,Gating_Current,covar,2
model6,16,Inactivation_rate,covar,2
model6,17,Current_Noise,covar,2
model6,18,Current_Baseline,covar,2
model6,19,Num_ch,covar,2
