scope,simulation_index,sample_index,segment_index,sub_index,n_step,step_start,step_end,step_middle,agonist,patch_current,component_path,variable,operation,value_row,value_col,probit,calculus,statistic,quantile_level,param_index,param_col,param_name,value
simulation,,0,0,,0,0,0.0001,5e-05,0,1.186786032043089,patch_current,,,,,point,primitive,value,,,,,1.186786032043089
simulation_sub,,0,0,0,0.02,0,2e-06,1e-06,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,1,0.04,2e-06,4.000000000000001e-06,3e-06,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,2,0.06,4.000000000000001e-06,6e-06,5e-06,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,3,0.08,6e-06,8.000000000000001e-06,7.000000000000001e-06,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,4,0.1,8.000000000000001e-06,1e-05,9.000000000000002e-06,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,5,0.12,1e-05,1.2e-05,1.1e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,6,0.14,1.2e-05,1.4e-05,1.3e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,7,0.16,1.4e-05,1.6e-05,1.5e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,8,0.18,1.6e-05,1.8e-05,1.7e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,9,0.2,1.8e-05,2e-05,1.9e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,10,0.22,2e-05,2.2e-05,2.1e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,11,0.24,2.2e-05,2.4e-05,2.3e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,12,0.26,2.4e-05,2.6e-05,2.5e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,13,0.28,2.6e-05,2.8e-05,2.7e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,14,0.3,2.8e-05,3e-05,2.9e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,15,0.32,3e-05,3.200000000000001e-05,3.1e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,16,0.34,3.200000000000001e-05,3.400000000000001e-05,3.3e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,17,0.36,3.400000000000001e-05,3.6e-05,3.5e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,18,0.38,3.6e-05,3.8e-05,3.7e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,19,0.4,3.8e-05,4e-05,3.9e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,20,0.42,4e-05,4.2e-05,4.1e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,21,0.44,4.2e-05,4.400000000000001e-05,4.3e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,22,0.46,4.400000000000001e-05,4.600000000000001e-05,4.500000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,23,0.48,4.600000000000001e-05,4.8e-05,4.7e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,24,0.5,4.8e-05,5e-05,4.9e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,25,0.52,5e-05,5.2e-05,5.100000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,26,0.54,5.2e-05,5.4e-05,5.3e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,27,0.5600000000000001,5.4e-05,5.600000000000001e-05,5.500000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,28,0.58,5.600000000000001e-05,5.8e-05,5.7e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,29,0.6,5.8e-05,6e-05,5.9e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,30,0.62,6e-05,6.2e-05,6.100000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,31,0.64,6.2e-05,6.400000000000001e-05,6.300000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,32,0.66,6.400000000000001e-05,6.600000000000001e-05,6.500000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,33,0.68,6.600000000000001e-05,6.800000000000001e-05,6.7e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,34,0.7,6.800000000000001e-05,6.999999999999999e-05,6.9e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,35,0.72,6.999999999999999e-05,7.2e-05,7.099999999999999e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,36,0.74,7.2e-05,7.4e-05,7.3e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,37,0.76,7.4e-05,7.6e-05,7.500000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,38,0.78,7.6e-05,7.800000000000001e-05,7.7e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,39,0.8,7.800000000000001e-05,8.000000000000001e-05,7.900000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,40,0.82,8.000000000000001e-05,8.2e-05,8.1e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,41,0.84,8.2e-05,8.4e-05,8.3e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,42,0.86,8.4e-05,8.6e-05,8.500000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,43,0.88,8.6e-05,8.800000000000001e-05,8.7e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,44,0.9,8.800000000000001e-05,9.000000000000001e-05,8.900000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,45,0.92,9.000000000000001e-05,9.200000000000001e-05,9.100000000000002e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,46,0.9399999999999999,9.200000000000001e-05,9.399999999999999e-05,9.300000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,47,0.96,9.399999999999999e-05,9.6e-05,9.500000000000001e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,48,0.98,9.6e-05,9.8e-05,9.7e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,0,0,49,1,9.8e-05,0.0001,9.899999999999999e-05,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation,,1,0,,1,0.0001,0.0002,0.00015,0,1.075788954556612,patch_current,,,,,point,primitive,value,,,,,1.075788954556612
simulation_sub,,1,0,0,1.02,0.0001,0.000102,0.000101,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,1,1.04,0.000102,0.000104,0.000103,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,2,1.06,0.000104,0.000106,0.000105,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,3,1.08,0.000106,0.000108,0.000107,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,4,1.1,0.000108,0.00011,0.000109,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,5,1.12,0.00011,0.000112,0.000111,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,6,1.14,0.000112,0.000114,0.000113,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,7,1.16,0.000114,0.000116,0.000115,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,8,1.18,0.000116,0.000118,0.000117,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,9,1.2,0.000118,0.00012,0.000119,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,10,1.22,0.00012,0.000122,0.000121,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,11,1.24,0.000122,0.000124,0.000123,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,12,1.26,0.000124,0.000126,0.000125,0,0,patch_current,,,,,point,primitive,value,,,,,0
simulation_sub,,1,0,13,1.28,0.000126,0.000128,0.000127,0,0,patch_current,,,,,point,primitive,value,,,,,0
