"algo","param_name","bias","lo","hi","predicted","ratio","covered"
"INR","Current_Noise",-0.0045,-0.0073,-0.0018,-7e-04,0.1514,"NO"
"IR","Current_Noise",-0.0054,-0.0077,-0.003,-0.0027,0.5058,"NO"
"MR","Current_Noise",-0.0363,-0.0388,-0.0337,-0.0184,0.5055,"NO"
"NR","Current_Noise",0.3333,0.326,0.3405,0.5882,1.7648,"NO"
"R","Current_Noise",-0.0234,-0.0257,-0.0211,-0.0144,0.6167,"NO"
"VR","Current_Noise",-0.0309,-0.0333,-0.0285,-0.0214,0.6917,"NO"
"ILSE","Num_ch_mean",0.0075,0.0044,0.0108,NA,NA,""
"INR","Num_ch_mean",0.0341,0.028,0.0407,0.0032,0.0934,"NO"
"IR","Num_ch_mean",0.002,-0.0015,0.0055,-0.0023,-1.1528,"NO"
"LSE","Num_ch_mean",0.0122,0.0089,0.0155,NA,NA,""
"MR","Num_ch_mean",0.2425,0.2389,0.246,0.19,0.7837,"NO"
"NR","Num_ch_mean",0.1217,0.1157,0.1276,0.0868,0.7128,"NO"
"R","Num_ch_mean",0.1788,0.1754,0.1824,0.1513,0.8459,"NO"
"VR","Num_ch_mean",0.1149,0.1111,0.1193,0.0898,0.7811,"NO"
"ILSE","off",0.0027,0.0011,0.0044,0.0023,0.8668,"yes"
"INR","off",5e-04,-8e-04,0.0017,6e-04,1.1643,"yes"
"IR","off",5e-04,-6e-04,0.0017,-1e-04,-0.2597,"yes"
"LSE","off",0.003,0.0014,0.0047,0.0019,0.6332,"yes"
"MR","off",-0.009,-0.0102,-0.0078,-0.0096,1.0632,"yes"
"NR","off",0.0104,0.009,0.0118,0.0093,0.8973,"yes"
"R","off",-0.0011,-0.0023,2e-04,-0.0015,1.4313,"yes"
"VR","off",-0.0123,-0.0136,-0.0112,-0.0135,1.0941,"yes"
"ILSE","on",-0.0069,-0.0121,-0.0017,-0.0033,0.4737,"yes"
"INR","on",-0.0077,-0.012,-0.0036,-4e-04,0.0562,"NO"
"IR","on",0.0015,-0.0023,0.0055,0.0012,0.7953,"yes"
"LSE","on",-0.0148,-0.02,-0.0097,-0.006,0.4071,"NO"
"MR","on",-0.031,-0.035,-0.0269,-0.0303,0.9796,"yes"
"NR","on",-0.021,-0.0257,-0.0163,-0.0161,0.764,"NO"
"R","on",-0.0401,-0.0441,-0.0362,-0.039,0.9717,"yes"
"VR","on",-0.0021,-0.0064,0.0023,0.0049,-2.3241,"NO"
"INR","unitary_current",-0.028,-0.0327,-0.0234,-0.0024,0.087,"NO"
"IR","unitary_current",-0.0013,-0.0032,5e-04,0.0016,-1.1869,"NO"
"MR","unitary_current",-0.2275,-0.2293,-0.2256,-0.177,0.778,"NO"
"NR","unitary_current",-0.1026,-0.1068,-0.0985,-0.0731,0.7125,"NO"
"R","unitary_current",-0.1556,-0.1574,-0.154,-0.1306,0.8393,"NO"
"VR","unitary_current",-0.1171,-0.1193,-0.1149,-0.0979,0.8362,"NO"
