"pair","axis_1","axis_2","member","magnitude","anisotropy","corrected","worst_var_ratio","worst_deg_off_axis_1","best_var_ratio","best_deg_off_axis_1"
"kinetic","on","off","LSE",14.7296,1.3634,1.6465,20.0829,72.2025,10.8032,71.5485
"kinetic","on","off","ILSE",14.7745,1.4747,1.6294,21.7873,71.4133,10.019,74.0943
"kinetic","on","off","NR",14.8276,1.1545,1.0719,17.1191,78.4994,12.8429,54.8375
"kinetic","on","off","INR",12.5858,1.6915,1.046,21.2893,88.3362,7.4405,36.3724
"kinetic","on","off","R",1.3214,1.0424,0.9622,1.3774,86.9137,1.2676,24.4592
"kinetic","on","off","MR",1.9665,1.2451,0.9337,2.4485,52.158,1.5795,87.377
"kinetic","on","off","VR",2.1846,1.6092,0.9748,3.5154,39.0344,1.3576,88.6306
"kinetic","on","off","IR",1.0201,1.0648,1.0139,1.0862,42.087,0.958,89.9651
"amplitude","Num_ch_mean","unitary_current","NR",10.0419,1.2882,1.0543,12.9356,41.5931,7.7956,67.5598
"amplitude","Num_ch_mean","unitary_current","INR",8.9954,1.1655,1.085,10.4841,10.8536,7.718,55.7406
"amplitude","Num_ch_mean","unitary_current","R",1.0944,1.202,0.9366,1.3155,52.42,0.9104,85.7261
"amplitude","Num_ch_mean","unitary_current","MR",1.5253,1.3496,0.8797,2.0587,50.2557,1.1302,81.11
"amplitude","Num_ch_mean","unitary_current","VR",1.7689,1.473,0.9407,2.6057,47.8787,1.2009,75.4883
"amplitude","Num_ch_mean","unitary_current","IR",1.0015,1.0642,1.0737,1.0659,53.9109,0.9411,86.3132
"noise","Current_Noise","Num_ch_mean","NR",8.8364,1.3177,0.9367,11.6438,73.1458,6.7059,29.5229
"noise","Current_Noise","Num_ch_mean","INR",3.2782,3.1977,1.0347,10.4828,88.767,1.0252,0.07
"noise","Current_Noise","Num_ch_mean","R",1.0603,1.0708,0.9594,1.1354,59.8295,0.9903,13.4001
"noise","Current_Noise","Num_ch_mean","MR",1.2863,1.238,0.9092,1.5924,86.2076,1.039,1.8563
"noise","Current_Noise","Num_ch_mean","VR",1.434,1.4104,0.9465,2.0225,85.4734,1.0168,1.7563
"noise","Current_Noise","Num_ch_mean","IR",0.9926,1.0245,1.0514,1.0169,35.0578,0.9688,31.062
