member,param,D_score_bias_frac,E_perinterval_frac,F_accumulated,F_lo,F_hi,G_score_acf_lag1,G_lo,G_hi,logL_mean,logL_se
LSE,k_off,0.1875,0.9500,14.960,13.943,15.93,0.8560,0.8516,0.86044,-262,0.726
ILSE,k_off,0.1875,0.9500,14.964,14.015,15.91,0.8561,0.8519,0.86079,-262,0.726
NR,k_off,0.4500,0.6500,13.626,12.437,14.93,0.8642,0.8602,0.86790,-230,0.832
NR,N_ch,0.5250,0.6500,12.619,11.585,13.63,0.4784,0.4615,0.49370,-230,0.832
INR,k_off,0.1000,0.2375,20.842,18.540,23.21,0.8677,0.8637,0.87146,-215,0.636
INR,N_ch,0.1125,0.2125,11.828,10.820,12.82,0.8388,0.8349,0.84344,-215,0.636
R,k_off,0.5000,0.7250,1.074,0.991,1.17,0.1914,0.1839,0.20054,-147,0.203
R,N_ch,0.6047,1.0000,0.946,0.863,1.03,0.2083,0.1988,0.21787,-147,0.203
MR,k_off,0.7250,0.8875,1.188,1.087,1.28,0.3571,0.3489,0.36385,-154,0.201
MR,N_ch,0.6522,0.9565,1.188,1.076,1.29,0.3836,0.3761,0.39185,-154,0.201
VR,k_off,0.4250,0.7750,1.198,1.094,1.30,0.2561,0.2473,0.26453,-149,0.224
VR,N_ch,0.4091,1.0000,1.427,1.307,1.56,0.2790,0.2709,0.28689,-149,0.224
IR,k_off,0.0375,0.3000,1.080,0.991,1.17,-0.0043,-0.0134,0.00414,-143,0.240
IR,N_ch,0.0652,0.0652,0.971,0.888,1.07,-0.0121,-0.0218,-0.00174,-143,0.240
