nch,z,interval,q,se_q
5,0.1,0.01,0.09066861115554033,0.008758689787528992
5,0.1,0.02,0.05679523624342351,0.006303608344782868
5,0.1,0.05,0.05388840052149097,0.005471322786602285
5,0.1,0.1,0.04474526716501573,0.0049730358399364336
5,0.1,0.2,0.05737667014987341,0.004981446860736548
5,0.1,0.5,0.0760660493936379,0.005723760429309785
5,0.1,1,0.06640993249010656,0.007571440008671392
5,1,0.01,0.014933114138885954,0.004547731678242998
5,1,0.02,0.010016360244252533,0.002501881304350079
5,1,0.05,0.011392720957370685,0.0026453222494476313
5,1,0.1,0.007792477496958437,0.0026250455916675573
5,1,0.2,0.011005010355834243,0.0027958968505566433
5,1,0.5,0.011067034729799342,0.005111820740720621
5,1,1,0.008685464601981292,0.0023955294980573115
10,0.05,0.01,0.049147810227220035,0.006042081242812458
10,0.05,0.02,0.04704321773412953,0.006293285369112126
10,0.05,0.05,0.032739914203056615,0.0050559294148021
10,0.05,0.1,0.04420314291692784,0.003865718012718085
10,0.05,0.2,0.05626858998046317,0.004333851047656866
10,0.05,0.5,0.060479323403485066,0.005031572224571179
10,0.05,1,0.05187137705077335,0.006007847325407493
10,0.1,0.01,0.0426213078372117,0.005329709324216262
10,0.1,0.02,0.03323297955818138,0.004054906282436023
10,0.1,0.05,0.02886508886855666,0.0038916174551550196
10,0.1,0.1,0.027938421588611498,0.004777741020570094
10,0.1,0.2,0.04833648787273285,0.004168211368208197
10,0.1,0.5,0.04897811606668667,0.004887346609048861
10,0.1,1,0.031684441846768135,0.005556083931488357
10,0.2,0.01,0.024063959643789972,0.003932989089595612
10,0.2,0.02,0.02494178125700803,0.003989831564009416
10,0.2,0.05,0.017205779000015745,0.004166538925734597
10,0.2,0.1,0.020217936980383596,0.0032099164372170197
10,0.2,0.2,0.024761399156411235,0.0038946220378491096
10,0.2,0.5,0.024845367028524325,0.004311310732650319
10,0.2,1,0.02435047287102298,0.0034756451962143836
10,0.5,0.01,0.016113492255325695,0.0032374992811187876
10,0.5,0.02,0.01012357286611919,0.003233891342547618
10,0.5,0.05,0.011168178443598784,0.003995646279683931
10,0.5,0.1,0.010345339505673767,0.00267854617865474
10,0.5,0.2,0.014605399752008547,0.0024981338894079132
10,0.5,0.5,0.01753179114167852,0.004020127879038831
10,0.5,1,0.012763448881405128,0.0025349231921471898
10,1,0.01,0.006034715231936045,0.0015682014462233156
10,1,0.02,0.006914244054045836,0.002018219032784399
10,1,0.05,0.0034118248896069093,0.0017279329449790227
10,1,0.1,0.005571938795860806,0.002449106819052489
10,1,0.2,0.003757672763458771,0.0011339665496890219
10,1,0.5,0.0068924160678409205,0.0023702922421971165
10,1,1,0.00601201166599111,0.0021342226593460273
10,10,0.01,3.0230175294782024e-4,0.0027973055644335753
10,10,0.02,0.0014945512185605395,0.004072177794574915
10,10,0.05,8.335210903024913e-4,0.004912759764119068
10,10,0.1,4.251249325366649e-4,0.00200065921786131
10,10,0.2,8.534140676493643e-4,0.0012360168338477124
10,10,0.5,6.442191011819374e-4,0.001087416645890518
10,10,1,7.364856656704375e-4,6.223423154456995e-4
10,100,0.01,4.967928637003588e-4,0.008646153047355599
10,100,0.02,7.852696045050014e-5,0.003946609507869757
10,100,0.05,3.624205551696451e-4,0.0011323203813367315
10,100,0.1,0.0014289822484868824,0.001984471596033365
10,100,0.2,0.0011985341859715962,0.00142677711886676
10,100,0.5,5.550080829453472e-4,0.005267787856589496
10,100,1,4.805290678817343e-4,0.005805060455105289
10,1000,0.01,4.647691078452415e-4,0.015647758335782896
10,1000,0.02,9.179351704684252e-4,0.009749725971753682
10,1000,0.05,5.745738024364804e-4,0.007108338311094134
10,1000,0.1,6.481374075143555e-4,0.005719875274895623
10,1000,0.2,7.044298235988373e-4,0.023401023894394163
10,1000,0.5,8.288049763549738e-4,0.012338119022740256
10,1000,1,1.7195377028574851e-4,0.005668174524869054
10,10000,0.01,6.296841520550676e-4,0.012961280716796258
10,10000,0.02,1.426094835728449e-4,0.008206896086287479
10,10000,0.05,1.8204756772901976e-4,0.005813965378555018
10,10000,0.1,0.0011203648387653109,0.01766704998692141
10,10000,0.2,0.0013939812627702035,0.0499373302696759
10,10000,0.5,2.8305057923971633e-4,0.051950911186393556
10,10000,1,0.0010170728952672706,0.018527132014716955
20,0.05,0.01,0.0333412205520283,0.004410724247899561
20,0.05,0.02,0.028311749084309015,0.005104904538522377
20,0.05,0.05,0.02499269432088793,0.0034568353433281737
20,0.05,0.1,0.02340881383591559,0.004380666356262937
20,0.05,0.2,0.037243043334904885,0.003989347653800783
20,0.05,0.5,0.02938446745526653,0.004625770212894081
20,0.05,1,0.01667853157467779,0.0027231068092907758
20,0.1,0.01,0.023664760508213634,0.003907195902414954
20,0.1,0.02,0.022388741273022938,0.004091515656630042
20,0.1,0.05,0.01511576942094672,0.0030003084864484845
20,0.1,0.1,0.014366966034132842,0.002457845031431832
20,0.1,0.2,0.02768343175201385,0.0040787704904225956
20,0.1,0.5,0.022700851270511326,0.003067561884123855
20,0.1,1,0.012815449130024196,0.0028984754566714704
20,0.2,0.01,0.017681876182295664,0.003268498887967286
20,0.2,0.02,0.015202360263579228,0.003310801875205692
20,0.2,0.05,0.01122119929369975,0.004966490813675427
20,0.2,0.1,0.013050448205582346,0.002355824715673924
20,0.2,0.2,0.011730473281287587,0.0021348527631112036
