"nch","z","D","x","S","babs","pabs","sig_abs","zmax","pz","sig_z"
5,0.1,0.01,0.005,0.01,0.0304149832491278,"k_on",TRUE,0.231293020325503,"baseline",TRUE
5,0.1,0.02,0.00707106781186548,0.01,0.0205300462700516,"k_on",TRUE,0.191296596540796,"baseline",TRUE
5,0.1,0.05,0.011180339887499,0.01,0.0114473463180041,"k_off",TRUE,0.151813162441908,"S",TRUE
5,0.1,0.1,0.0158113883008419,0.01,0.0145261948863206,"k_off",TRUE,0.164917989104079,"S",TRUE
5,0.1,0.2,0.0223606797749979,0.01,0.0280873880452009,"S",TRUE,0.2024239023245,"S",TRUE
5,0.1,0.5,0.0353553390593274,0.01,0.0695758566824884,"N_ch",TRUE,0.173103336136081,"S",TRUE
5,0.1,1,0.05,0.01,0.0841321219604407,"N_ch",TRUE,0.169303207995495,"k_off",TRUE
5,1,0.01,0.05,0.1,0.0110339008544398,"N_ch",TRUE,0.105923290213481,"baseline",TRUE
5,1,0.02,0.0707106781186548,0.1,0.0138804256422041,"N_ch",TRUE,0.0869480009721687,"baseline",TRUE
5,1,0.05,0.111803398874989,0.1,0.0182371107668076,"N_ch",TRUE,0.0843447791728805,"baseline",TRUE
5,1,0.1,0.158113883008419,0.1,0.00995386996850438,"i",TRUE,0.0641765013849345,"baseline",TRUE
5,1,0.2,0.223606797749979,0.1,0.0262329912322918,"N_ch",TRUE,0.0775036929124849,"S",TRUE
5,1,0.5,0.353553390593274,0.1,0.0191865088521699,"S",TRUE,0.0870914668444748,"S",TRUE
5,1,1,0.5,0.1,0.0257537969418352,"S",TRUE,0.0721611518483756,"S",TRUE
10,0.05,0.01,0.005,0.005,0.00851758176037927,"k_on",TRUE,0.199327897905133,"baseline",TRUE
10,0.05,0.02,0.00707106781186548,0.005,0.0118827846876973,"k_on",TRUE,0.184563784594128,"baseline",TRUE
10,0.05,0.05,0.011180339887499,0.005,0.013374226783834,"N_ch",TRUE,0.119202933458477,"baseline",TRUE
10,0.05,0.1,0.0158113883008419,0.005,0.017344000583853,"S",TRUE,0.176594363193507,"S",TRUE
10,0.05,0.2,0.0223606797749979,0.005,0.0303907504602136,"S",TRUE,0.198428614664171,"S",TRUE
10,0.05,0.5,0.0353553390593274,0.005,0.0643153954768791,"N_ch",TRUE,0.15484097536906,"i",TRUE
10,0.05,1,0.05,0.005,0.0739186889336687,"N_ch",TRUE,0.158136839468067,"k_off",TRUE
10,0.1,0.01,0.01,0.01,0.00972193084521132,"k_on",TRUE,0.191401581852327,"baseline",TRUE
10,0.1,0.02,0.014142135623731,0.01,0.0105972357219667,"k_on",TRUE,0.163437440852371,"baseline",TRUE
10,0.1,0.05,0.0223606797749979,0.01,0.00933512600737218,"k_off",TRUE,0.118001687350018,"baseline",TRUE
10,0.1,0.1,0.0316227766016838,0.01,0.0119971582557931,"S",TRUE,0.12896266968201,"S",TRUE
10,0.1,0.2,0.0447213595499958,0.01,0.0274978190996568,"S",TRUE,0.186809689022247,"S",TRUE
10,0.1,0.5,0.0707106781186548,0.01,0.042955976458808,"S",TRUE,0.161297571280934,"S",TRUE
10,0.1,1,0.1,0.01,0.0531507944029864,"N_ch",TRUE,0.109237803692913,"k_off",TRUE
10,0.2,0.01,0.02,0.02,0.00636602848337854,"k_on",FALSE,0.145312707310473,"baseline",TRUE
10,0.2,0.02,0.0282842712474619,0.02,0.00747057112239262,"k_on",FALSE,0.14082908264167,"baseline",TRUE
10,0.2,0.05,0.0447213595499958,0.02,0.0054838899692108,"k_on",FALSE,0.11003591915453,"baseline",TRUE
10,0.2,0.1,0.0632455532033676,0.02,0.00819181321001197,"k_off",TRUE,0.102403691023546,"baseline",TRUE
10,0.2,0.2,0.0894427190999916,0.02,0.0178237923439375,"S",TRUE,0.126676745111605,"S",TRUE
10,0.2,0.5,0.14142135623731,0.02,0.0314810736594753,"S",TRUE,0.121651294415449,"S",TRUE
10,0.2,1,0.2,0.02,0.0419200856994893,"N_ch",TRUE,0.0970706725322221,"k_off",TRUE
10,0.5,0.01,0.05,0.05,0.00692014498590425,"baseline",TRUE,0.123146195721181,"baseline",TRUE
10,0.5,0.02,0.0707106781186548,0.05,0.00535100052906415,"baseline",TRUE,0.094984042953144,"baseline",TRUE
10,0.5,0.05,0.111803398874989,0.05,0.00534229020616378,"baseline",TRUE,0.094714799294825,"baseline",TRUE
10,0.5,0.1,0.158113883008419,0.05,0.00484739733917669,"baseline",TRUE,0.0855479763056293,"baseline",TRUE
10,0.5,0.2,0.223606797749979,0.05,0.0126909976767955,"S",TRUE,0.0970813695038432,"S",TRUE
10,0.5,0.5,0.353553390593274,0.05,0.0265899617265577,"S",TRUE,0.108644057408461,"S",TRUE
10,0.5,1,0.5,0.05,0.0355292563758379,"S",TRUE,0.0905975096329985,"S",TRUE
10,1,0.01,0.1,0.1,0.00920449568294135,"N_ch",TRUE,0.0760933456189939,"baseline",TRUE
10,1,0.02,0.14142135623731,0.1,0.00600135442770913,"baseline",TRUE,0.0756943596101081,"baseline",TRUE
10,1,0.05,0.223606797749979,0.1,0.00931719159375862,"N_ch",FALSE,0.0461242051928509,"baseline",TRUE
10,1,0.1,0.316227766016838,0.1,0.00524876076637094,"baseline",TRUE,0.065809131583899,"baseline",TRUE
10,1,0.2,0.447213595499958,0.1,0.0130626664119208,"N_ch",TRUE,0.0445301378314522,"baseline",TRUE
10,1,0.5,0.707106781186548,0.1,0.0164588979122845,"S",TRUE,0.0705192954132524,"S",TRUE
10,1,1,1,0.1,0.0229901009613776,"S",TRUE,0.061077308758814,"S",TRUE
