"nch","z","interval_in_tau","sig","zmax"
5,0.1,0.01,TRUE,0.231293020325503
5,0.1,0.02,TRUE,0.191296596540796
5,0.1,0.05,TRUE,0.151813162441908
5,0.1,0.1,TRUE,0.164917989104079
5,0.1,0.2,TRUE,0.2024239023245
5,0.1,0.5,TRUE,0.173103336136081
5,0.1,1,TRUE,0.169303207995495
5,1,0.01,TRUE,0.105923290213481
5,1,0.02,TRUE,0.0869480009721687
5,1,0.05,TRUE,0.0843447791728805
5,1,0.1,TRUE,0.0641765013849345
5,1,0.2,TRUE,0.0775036929124849
5,1,0.5,TRUE,0.0870914668444748
5,1,1,TRUE,0.0721611518483756
10,0.05,0.01,TRUE,0.199327897905133
10,0.05,0.02,TRUE,0.184563784594128
10,0.05,0.05,TRUE,0.119202933458477
10,0.05,0.1,TRUE,0.176594363193507
10,0.05,0.2,TRUE,0.198428614664171
10,0.05,0.5,TRUE,0.15484097536906
10,0.05,1,TRUE,0.158136839468067
10,0.1,0.01,TRUE,0.191401581852327
10,0.1,0.02,TRUE,0.163437440852371
10,0.1,0.05,TRUE,0.118001687350018
10,0.1,0.1,TRUE,0.12896266968201
10,0.1,0.2,TRUE,0.186809689022247
10,0.1,0.5,TRUE,0.161297571280934
10,0.1,1,TRUE,0.109237803692913
10,0.2,0.01,TRUE,0.145312707310473
10,0.2,0.02,TRUE,0.14082908264167
10,0.2,0.05,TRUE,0.11003591915453
10,0.2,0.1,TRUE,0.102403691023546
10,0.2,0.2,TRUE,0.126676745111605
10,0.2,0.5,TRUE,0.121651294415449
10,0.2,1,TRUE,0.0970706725322221
10,0.5,0.01,TRUE,0.123146195721181
10,0.5,0.02,TRUE,0.094984042953144
10,0.5,0.05,TRUE,0.094714799294825
10,0.5,0.1,TRUE,0.0855479763056293
10,0.5,0.2,TRUE,0.0970813695038432
10,0.5,0.5,TRUE,0.108644057408461
10,0.5,1,TRUE,0.0905975096329985
10,1,0.01,TRUE,0.0760933456189939
10,1,0.02,TRUE,0.0756943596101081
10,1,0.05,TRUE,0.0461242051928509
10,1,0.1,TRUE,0.065809131583899
10,1,0.2,TRUE,0.0445301378314522
10,1,0.5,TRUE,0.0705192954132524
10,1,1,TRUE,0.061077308758814
10,10,0.01,FALSE,0.0114048009470572
10,10,0.02,FALSE,0.0252257379114071
10,10,0.05,FALSE,0.0152045261123168
10,10,0.1,FALSE,0.0150307106785197
10,10,0.2,TRUE,0.0251791010886488
10,10,0.5,FALSE,0.0207871395891696
10,10,1,FALSE,0.0205387057916208
10,100,0.01,FALSE,0.0101618477533539
10,100,0.02,FALSE,0.00250000814319403
10,100,0.05,FALSE,0.0142449947804002
10,100,0.1,FALSE,0.0258027295921629
10,100,0.2,FALSE,0.0201003900774413
10,100,0.5,FALSE,0.0176534730577162
10,100,1,FALSE,0.0130314293516505
10,1000,0.01,FALSE,0.0130441829070819
10,1000,0.02,FALSE,0.0179629032425723
10,1000,0.05,FALSE,0.0196068176464226
10,1000,0.1,FALSE,0.0233372363209314
10,1000,0.2,FALSE,0.0124257681870331
10,1000,0.5,FALSE,0.0228065671393583
10,1000,1,FALSE,0.0105919661893718
10,10000,0.01,FALSE,0.0173450110125012
10,10000,0.02,FALSE,0.00857681420060393
10,10000,0.05,FALSE,0.0112726005546482
10,10000,0.1,FALSE,0.0213246551257516
10,10000,0.2,FALSE,0.024530839018204
10,10000,0.5,FALSE,0.00869797070450495
10,10000,1,FALSE,0.0161374928775473
20,0.05,0.01,TRUE,0.172344833863183
20,0.05,0.02,TRUE,0.140356938569869
20,0.05,0.05,TRUE,0.112608506609939
20,0.05,0.1,TRUE,0.121202427310801
20,0.05,0.2,TRUE,0.175028537584361
20,0.05,0.5,TRUE,0.109337650226464
20,0.05,1,TRUE,0.0944715790634382
20,0.1,0.01,TRUE,0.146148736594865
20,0.1,0.02,TRUE,0.139492175240754
20,0.1,0.05,TRUE,0.0951131797158184
20,0.1,0.1,TRUE,0.0926519927946225
20,0.1,0.2,TRUE,0.153169023968391
20,0.1,0.5,TRUE,0.116279962362504
20,0.1,1,TRUE,0.073119511961715
20,0.2,0.01,TRUE,0.125526941132113
20,0.2,0.02,TRUE,0.113574511257325
20,0.2,0.05,TRUE,0.0819253290549841
20,0.2,0.1,TRUE,0.0831603723462534
20,0.2,0.2,TRUE,0.0920133079846189
20,0.2,0.5,TRUE,0.0937627907759644
20,0.2,1,TRUE,0.0607486220557685
20,0.5,0.01,TRUE,0.0564729182778161
20,0.5,0.02,TRUE,0.0803446479993875
20,0.5,0.05,TRUE,0.0778385789652301
20,0.5,0.1,TRUE,0.0463854426421429
20,0.5,0.2,TRUE,0.0697757159693055
20,0.5,0.5,TRUE,0.0686619854996915
20,0.5,1,TRUE,0.0523452842392714
20,1,0.01,TRUE,0.0638313534604557
20,1,0.02,TRUE,0.0567464580317021
20,1,0.05,TRUE,0.0380216804088867
20,1,0.1,TRUE,0.0355986336965844
20,1,0.2,TRUE,0.0493074805200767
20,1,0.5,TRUE,0.0518368735383785
20,1,1,TRUE,0.0456754143986839
20,10,0.01,FALSE,0.016825527123632
20,10,0.02,FALSE,0.0141209940354046
20,10,0.05,FALSE,0.0135353271440967
20,10,0.1,FALSE,0.00703365627012091
20,10,0.2,FALSE,0.00996534410948216
20,10,0.5,FALSE,0.0225229679343403
20,10,1,FALSE,0.00968731066364866
50,0.05,0.01,TRUE,0.0795899012250809
50,0.05,0.02,TRUE,0.0740197876669561
50,0.05,0.05,TRUE,0.0591807350561384
50,0.05,0.1,TRUE,0.0810248884151557
50,0.05,0.2,TRUE,0.0819650258839411
50,0.05,0.5,TRUE,0.0588027756505971
50,0.05,1,TRUE,0.0278923346541365
50,0.1,0.01,TRUE,0.0717285598305369
50,0.1,0.02,TRUE,0.07300941285395
50,0.1,0.05,TRUE,0.0603271982645962
50,0.1,0.1,TRUE,0.0532121159042047
50,0.1,0.2,TRUE,0.0807429845243941
50,0.1,0.5,TRUE,0.0487909812832464
50,0.1,1,TRUE,0.0366476023025078
50,0.2,0.01,TRUE,0.0828120205085373
50,0.2,0.02,TRUE,0.0602579083138953
