interval_in_tau,param_index,m,lo,hi,se,nch,z
1,0,-0.04598215009844041,-0.05979862958088857,-0.03548158439256986,0.5653403195647514,5,0.1
1,1,0.03958188061756441,0.0338193943097095,0.04447042110039888,0.2337928565335734,5,0.1
1,2,-0.04027036921121054,-0.04672156186697422,-0.0340214523727347,0.31914752361935195,5,0.1
1,3,-0.03836151234374179,-0.0484914914245814,-0.02945931489927139,0.39819051882449574,5,0.1
1,4,3.4069641724971e-4,-1.9884037073764e-4,8.61240536376e-4,0.027254048670658455,5,0.1
1,5,0.08413212196044072,0.07403159380346168,0.0986980587654355,0.5871965683430079,5,0.1
0.5,0,-0.03169699313796306,-0.04017851397606415,-0.02143103111080553,0.4819567851287268,5,0.1
0.5,1,0.03904964917916536,0.03427964549840431,0.04346197700767165,0.24077572411417283,5,0.1
0.5,2,-0.03264919605565422,-0.03660200437661897,-0.0270123764189924,0.25046580068518526,5,0.1
0.5,3,-0.04364545591813483,-0.04953807886186624,-0.03862209063380793,0.2521352672476742,5,0.1
0.5,4,0.00117975550557535,7.4819101593745e-4,0.00156509109592337,0.02539455294856655,5,0.1
0.5,5,0.06957585668248838,0.05827003785521531,0.07787335669579673,0.5088077536207847,5,0.1
0.2,0,-2.259290016997e-4,-0.00678671847929985,0.00675983196212651,0.32401520788212057,5,0.1
0.2,1,0.02373551885124975,0.01883719414976968,0.02962752482002162,0.22129352464915653,5,0.1
0.2,2,-0.0084636513776027,-0.01240506582303967,-0.00523771465125569,0.20397992396552322,5,0.1
0.2,3,-0.0280873880452009,-0.03050804458799518,-0.02500647439132399,0.1387552938297511,5,0.1
0.2,4,0.00157547527507114,0.00115123101440813,0.00206549733094111,0.02434335082653208,5,0.1
0.2,5,0.01864396523760373,0.01411128732595794,0.02492514287490473,0.3504312012027388,5,0.1
0.1,0,-0.00649929944481912,-0.0125816831101295,-0.00129078330932215,0.2579132958898164,5,0.1
0.1,1,0.01452619488632057,0.00874261169058162,0.01886213373604217,0.21010364588773955,5,0.1
0.1,2,-0.00299380635272812,-0.00633554238926463,7.0626627238011e-4,0.18945924536047984,5,0.1
0.1,3,-0.01437159784492163,-0.01617903110971291,-0.01245588067801729,0.08714390663502332,5,0.1
0.1,4,0.00255423182200397,0.00205283990890918,0.00316686513077392,0.02407876710555796,5,0.1
0.1,5,0.01077871199464604,0.00631022593203535,0.01558105323567593,0.2736087779526695,5,0.1
0.05,0,-0.00876842255058188,-0.01329382993065827,-0.00394835814777984,0.2337251148783606,5,0.1
0.05,1,0.01144734631800409,0.00739900418618506,0.01580801056767269,0.20717903128375018,5,0.1
0.05,2,0.00432314200198286,0.00167682651313527,0.00713435762283186,0.18524729308081864,5,0.1
0.05,3,-0.00825071133777538,-0.00926688650146577,-0.00706297480852823,0.05434779965757271,5,0.1
0.05,4,0.00348135471797044,0.00307932449424267,0.0039574213241175,0.02387593975863275,5,0.1
