nch,z,interval,mahal,note
5,0.1,0.01,0.3011122899443667,
5,0.1,0.02,0.23831751140741528,
5,0.1,0.05,0.23213875273527892,
5,0.1,0.1,0.21153077120129762,
5,0.1,0.2,0.23953427760943402,
5,0.1,0.5,0.2758007421919635,
5,0.1,1,0.25770124658236826,
5,1,0.01,0.12220112167605482,
5,1,0.02,0.10008176779140411,
5,1,0.05,0.10673668983705034,
5,1,0.1,0.08827501060299249,
5,1,0.2,0.10490476803193573,
5,1,0.5,0.1051999749515148,
5,1,1,0.09319584004654549,
10,0.05,0.01,0.2216930540797795,
10,0.05,0.02,0.2168944852552262,
10,0.05,0.05,0.18094174256665213,
10,0.05,0.1,0.21024543494908002,
10,0.05,0.2,0.23721001239505715,
10,0.05,0.5,0.24592544277379083,
10,0.05,1,0.22775288593291929,
10,0.1,0.01,0.20644928635675083,
10,0.1,0.02,0.18229914853937573,
10,0.1,0.05,0.16989728917365532,
10,0.1,0.1,0.16714790333298082,
10,0.1,0.2,0.21985560687126643,
10,0.1,0.5,0.22130999992473604,
10,0.1,1,0.1780012411382801,
10,0.2,0.01,0.1551256253614791,
10,0.2,0.02,0.1579296718701335,
10,0.2,0.05,0.13117080086671631,
10,0.2,0.1,0.14218979211034663,
10,0.2,0.2,0.15735755195226964,
10,0.2,0.5,0.1576241321261574,
10,0.2,1,0.1560463805124072,
10,0.5,0.01,0.12693893120444055,
10,0.5,0.02,0.10061596725231632,
10,0.5,0.05,0.10567960277933856,
10,0.5,0.1,0.10171204208781656,
10,0.5,0.2,0.12085280200313334,
10,0.5,0.5,0.13240767025243863,
10,0.5,1,0.1129754348582254,
10,1,0.01,0.07768342958402419,
10,1,0.02,0.08315193355566566,
10,1,0.05,0.05841082853039246,
10,1,0.1,0.0746454204614108,
10,1,0.2,0.06129985940814849,
10,1,0.5,0.08302057617145836,
10,1,1,0.07753716312834194,
10,10,0.01,0.01738682699482054,
10,10,0.02,0.03865942599884974,
10,10,0.05,0.028870765322424195,
10,10,0.1,0.02061855796452955,
10,10,0.2,0.029213251576114638,
10,10,0.5,0.025381471611826162,
10,10,1,0.02713826939343107,
10,100,0.01,0.02228885065902589,
10,100,0.02,0.00886154390896418,
10,100,0.05,0.019037346326881935,
10,100,0.1,0.03780188154691354,
10,100,0.2,0.034619852483388724,
10,100,0.5,0.02355860952911583,
10,100,1,0.021920973242119845,
10,1000,0.01,0.021558504304455852,
10,1000,0.02,0.030297444949507295,
10,1000,0.05,0.023970269135670554,
10,1000,0.1,0.025458542918131735,
10,1000,0.2,0.026541096880099684,
10,1000,0.5,0.02878897317298715,
10,1000,1,0.013113114438826061,
10,10000,0.01,0.02509350816556082,
10,10000,0.02,0.011941921268072609,
10,10000,0.05,0.013492500425385199,
10,10000,0.1,0.0334718514391617,
10,10000,0.2,0.037336058479306614,
10,10000,0.5,0.016824107085956042,
10,10000,1,0.031891580319376944,
20,0.05,0.01,0.1825957845954509,
20,0.05,0.02,0.16826095531735524,
20,0.05,0.05,0.15809077873452307,
20,0.05,0.1,0.15299939161942963,
20,0.05,0.2,0.1929845676081507,
20,0.05,0.5,0.17141898219061544,
20,0.05,1,0.1291453892892727,
20,0.1,0.01,0.1538335480583271,
20,0.1,0.02,0.1496286779765929,
20,0.1,0.05,0.12294620539466324,
20,0.1,0.1,0.11986227944659171,
20,0.1,0.2,0.16638338784870876,
20,0.1,0.5,0.15066801674712296,
20,0.1,1,0.11320534055434044,
20,0.2,0.01,0.1329732160335143,
20,0.2,0.02,0.12329785182061863,
20,0.2,0.05,0.10593016234151513,
20,0.2,0.1,0.11423855831365497,
20,0.2,0.2,0.10830730945456815,
20,0.2,0.5,0.11914410567243991,
