nch,z,interval,rank,share,c,mag,sigma,dompar
5,0.1,0.01,1,0.052119818133325245,0.06874322893076777,0.3011122899443667,0.33913710276262904,6
5,0.1,0.01,2,0.14231663339377237,-0.11359424058527587,0.3011122899443667,0.18555384481691822,1
5,0.1,0.01,3,0.0867536010319289,0.08868950624683196,0.3011122899443667,0.12737484525383216,2
5,0.1,0.01,4,0.1218659190368334,-0.10511619107570065,0.3011122899443667,0.0341956787474316,3
5,0.1,0.01,5,0.5842496477050307,-0.2301588671451284,0.3011122899443667,0.023313064491581444,5
5,0.1,0.01,6,0.012694380699109279,0.0339261236728857,0.3011122899443667,0.020185509440845885,4
5,0.1,0.02,1,0.02568814982355091,0.03819639430476432,0.2383175114074153,0.33806406373078224,6
5,0.1,0.02,2,0.10653279106366957,-0.07778531375608375,0.2383175114074153,0.19920494568497019,1
5,0.1,0.02,3,0.08537541608979018,0.069634164935039,0.2383175114074153,0.12821615293259842,2
5,0.1,0.02,4,0.10963780058349178,-0.07891073935370757,0.2383175114074153,0.03645498090605489,3
5,0.1,0.02,5,0.03958943444078103,-0.04741825894956168,0.2383175114074153,0.0292486499537449,4
5,0.1,0.02,6,0.6331764079987166,-0.18963492208991842,0.2383175114074153,0.023405778143605206,5
5,0.1,0.05,1,1.841492149356132e-4,0.003150159781688613,0.23213875273527892,0.3407129641910032,6
5,0.1,0.05,2,0.012179599597686157,-0.025619116716067748,0.23213875273527892,0.23495711543747924,1
5,0.1,0.05,3,0.21669308369897886,-0.10806129596024443,0.23213875273527892,0.13188763230430728,2
5,0.1,0.05,4,0.34604265312700033,-0.1365565270839412,0.23213875273527892,0.053429180859581975,4
5,0.1,0.05,5,0.008730563518451676,-0.021690461121438645,0.23213875273527892,0.0382115964308811,3
5,0.1,0.05,6,0.4161699508429474,-0.1497555775122715,0.23213875273527892,0.023502141476519498,5
5,0.1,0.1,1,0.043166268186473865,0.04394867691433375,0.21153077120129762,0.35652038405539377,6
5,0.1,0.1,2,0.00343479179938865,-0.01239720439130735,0.21153077120129762,0.27231904399959145,1
5,0.1,0.1,3,0.1902871853545466,0.09227378255370296,0.21153077120129762,0.13798489174458595,2
5,0.1,0.1,4,0.5333782968225802,-0.1544867450344767,0.21153077120129762,0.0835584581527002,4
5,0.1,0.1,5,5.676177921122483e-4,-0.005039663655014976,0.21153077120129762,0.04176698646293516,3
5,0.1,0.1,6,0.22916584004489834,0.10126246460512521,0.21153077120129762,0.02371609828045124,5
5,0.1,0.2,1,0.040507908296222236,0.04821004970723079,0.23953427760943402,0.4551694343252911,6
5,0.1,0.2,2,0.054812424413124776,0.05607989297124887,0.23953427760943402,0.296368416689737,1
5,0.1,0.2,3,0.48012128057247233,0.16597517991356892,0.23953427760943402,0.15403324877658398,2
5,0.1,0.2,4,0.3760025759396156,-0.1468801408468485,0.23953427760943402,0.1293699922876208,4
5,0.1,0.2,5,4.6495452297615264e-6,5.165030716219841e-4,0.23953427760943402,0.04648866476096728,3
5,0.1,0.2,6,0.0485511612333353,0.05277976850535061,0.23953427760943402,0.02397207758094098,5
5,0.1,0.5,1,0.17610717952786475,-0.11574012880820904,0.2758007421919635,0.6999954163205675,6
5,0.1,0.5,2,0.06275155110288237,0.069088802173139785,0.2758007421919635,0.2954283985920778,1
5,0.1,0.5,3,0.7341874270999821,0.23631914246200025,0.2758007421919635,0.24460379520028178,4
5,0.1,0.5,4,0.00713087976720599,-0.023289865877509558,0.2758007421919635,0.1884457000102149,2
5,0.1,0.5,5,0.0038055686537864426,0.017013952309495865,0.2758007421919635,0.053396752005325863,3
5,0.1,0.5,6,0.01601739384827831,-0.034905298618125156,0.2758007421919635,0.02500565242923088,5
5,0.1,1,1,0.2136331731245887,-0.11911072413872388,0.2577012465823682,0.8287640213766521,6
5,0.1,1,2,0.1392903249340933,0.09617827756514534,0.2577012465823682,0.39770657260792386,4
5,0.1,1,3,0.2741246939601905,0.13492443225660566,0.2577012465823682,0.27198514979617355,1
5,0.1,1,4,0.33962575092618735,0.15018163399999962,0.2577012465823682,0.2393109860760055,2
5,0.1,1,5,0.030097877594881414,0.044707918976078106,0.2577012465823682,0.05687550638618511,3
5,0.1,1,6,0.00322817946005863,0.014641829803970616,0.2577012465823682,0.026858645378956787,5
5,1,0.01,1,0.018791337831437264,0.016751513145361475,0.12220112167605482,0.6465772813145777,6
5,1,0.01,2,0.08517341644700543,-0.03566376802024708,0.12220112167605482,0.3320817787806562,1
5,1,0.01,3,0.0048064095931399115,0.008471992861930108,0.12220112167605482,0.20921054456744526,2
5,1,0.01,4,0.6743507366304166,-0.10035016950530692,0.12220112167605482,0.07547647616795031,5
5,1,0.01,5,0.1890043847476486,0.05312649103965508,0.12220112167605482,0.05280564954401462,3
5,1,0.01,6,0.027873714750352233,0.020401994114344776,0.12220112167605482,0.01967753400959945,4
5,1,0.02,1,0.06377624733218248,0.025274609162273694,0.10008176779140411,0.6646766815453418,6
5,1,0.02,2,0.038238572442050436,-0.01957067491951988,0.10008176779140411,0.33157149240771355,1
5,1,0.02,3,0.017308875947337796,0.013167077766597006,0.10008176779140411,0.20987556846199637,2
5,1,0.02,4,0.7619517031284899,-0.08736121992770428,0.10008176779140411,0.07557726422627822,5
5,1,0.02,5,0.10827266368758058,0.0329317172965457,0.10008176779140411,0.052928035138109425,3
5,1,0.02,6,0.010451937462358764,0.010231831257081209,0.10008176779140411,0.028168786860662022,4
5,1,0.05,1,0.09403092591270969,0.03273023220642801,0.10673668983705033,0.7081138832648844,6
5,1,0.05,2,0.013085348747159746,-0.012209739018761663,0.10673668983705033,0.32943208950070546,1
5,1,0.05,3,0.07564951370551534,0.02935734661388398,0.10673668983705033,0.21259293312064353,2
5,1,0.05,4,0.7196594701005372,-0.09054766439386866,0.10673668983705033,0.07611059629289058,5
5,1,0.05,5,0.06530427771775554,0.027276242654754132,0.10673668983705033,0.05364924034519372,3
5,1,0.05,6,0.03227046381632234,0.019174159418975524,0.10673668983705033,0.04575235881155689,4
5,1,0.1,1,0.022840681663999184,0.013341120563202509,0.08827501060299249,0.7493342750211381,6
5,1,0.1,2,0.05328661001864984,-0.020377308690293937,0.08827501060299249,0.3266257202219663,1
5,1,0.1,3,0.05901085373354286,0.02144389772860658,0.08827501060299249,0.21755102290781053,2
5,1,0.1,4,0.8519735429690215,-0.081479964786382,0.08827501060299249,0.07826149658893343,5
5,1,0.1,5,2.7218978374968988e-5,4.6054671476099376e-4,0.08827501060299249,0.06797854587870053,4
5,1,0.1,6,0.012861092636411612,0.01001098271677338,0.08827501060299249,0.05302539025210195,3
5,1,0.2,1,0.17044816421265302,0.043310319928317104,0.10490476803193571,0.8264189204504442,6
5,1,0.2,2,0.002045098706324262,-0.0047440839412685055,0.10490476803193571,0.32508566062548105,1
5,1,0.2,3,0.19558490117709487,0.0463941145286635,0.10490476803193571,0.2277601158266157,2
5,1,0.2,4,0.3820113806553983,-0.06483856260096452,0.10490476803193571,0.10888471516993732,4
5,1,0.2,5,0.2401885478833759,-0.051412814130422195,0.10490476803193571,0.07601999887497811,5
5,1,0.2,6,0.0097219073651537,0.010343582127675966,0.10490476803193571,0.05377300207942646,3
5,1,0.5,1,0.0026795263025762685,0.005445586345842143,0.1051999749515148,0.9426089403828298,6
5,1,0.5,2,0.03692425567276614,-0.02021489599039513,0.1051999749515148,0.32346656092799675,1
5,1,0.5,3,0.31639588959103987,-0.05917401708917349,0.1051999749515148,0.25447803382316353,2
5,1,0.5,4,0.4301702064697783,0.06899788848019908,0.1051999749515148,0.19923937107481568,4
5,1,0.5,5,0.08368100973628569,0.030431901698318994,0.1051999749515148,0.0789775451855424,5
5,1,0.5,6,0.13014911222755376,0.0379521375560704,0.1051999749515148,0.0549562165721747,3
5,1,1,1,0.03481225848072735,0.017388520315121135,0.09319584004654549,1.0581626809771902,6
5,1,1,2,0.2635779311575864,-0.04784659644042278,0.09319584004654549,0.37182900255043966,4
5,1,1,3,0.30598801426223776,0.05155238177334984,0.09319584004654549,0.2948499715172076,4
5,1,1,4,0.1685765952806453,-0.03826442278452102,0.09319584004654549,0.27456348841967837,2
5,1,1,5,0.20539726554545912,-0.0422370770678895,0.09319584004654549,0.08273557161321021,5
5,1,1,6,0.021647935273344052,0.013712125127879046,0.09319584004654549,0.056107451604369134,3
10,0.05,0.01,1,0.01774284405965783,0.02953001748619905,0.22169305407977952,0.309899537235402,6
10,0.05,0.01,2,0.011775720989590606,-0.024057242162914078,0.22169305407977952,0.23866028557519248,1
10,0.05,0.01,3,0.07243146071920677,0.05966445915206068,0.22169305407977952,0.08539602746307387,2
10,0.05,0.01,4,0.027991995905346737,0.03709104073273089,0.22169305407977952,0.030187176838796702,3
10,0.05,0.01,5,0.05325593254021845,-0.051160653494265386,0.22169305407977952,0.020821404448265083,4
10,0.05,0.01,6,0.8168020457859797,0.20035975628727049,0.22169305407977952,0.017858197928483935,5
10,0.05,0.02,1,0.023407874895713613,-0.03318405875435252,0.21689448525522617,0.3253293914348945,6
10,0.05,0.02,2,0.021641952584581865,-0.03190779039087777,0.21689448525522617,0.2410818777718051,1
10,0.05,0.02,3,0.09921427501258406,0.06831807038954481,0.21689448525522617,0.08694444366862211,2
10,0.05,0.02,4,0.06454290047410656,-0.05510268342100634,0.21689448525522617,0.03416325191403499,4
10,0.05,0.02,5,0.038530394555740234,-0.04257456682654102,0.21689448525522617,0.028365734336646298,3
10,0.05,0.02,6,0.7526626024772736,0.18816926074328655,0.21689448525522617,0.01784186364630842,5
10,0.05,0.05,1,0.06653099368066365,-0.046671394075483,0.18094174256665213,0.40085377634541625,6
10,0.05,0.05,2,0.011851523090397057,0.01969816867516227,0.18094174256665213,0.2464510097259758,1
10,0.05,0.05,3,0.2281540878820473,0.0864276880538573,0.18094174256665213,0.0917107187338025,2
10,0.05,0.05,4,0.24578159249498643,-0.08970433797189788,0.18094174256665213,0.059039569053372376,4
10,0.05,0.05,5,0.00880349683421404,-0.016977212110327426,0.18094174256665213,0.03126931723514565,3
10,0.05,0.05,6,0.43887830601769157,-0.11987008836487127,0.18094174256665213,0.017912676424054908,5
10,0.05,0.1,1,0.050055708278046396,-0.04703849090715531,0.21024543494908005,0.4656797625302986,6
10,0.05,0.1,2,0.02541439781305423,0.03351710397212287,0.21024543494908005,0.24626692917495294,1
10,0.05,0.1,3,0.6383453679993879,0.1679787829817678,0.21024543494908005,0.10487975082640226,4
10,0.05,0.1,4,0.17142275229931644,-0.0870484027372117,0.21024543494908005,0.08773700012735991,4
10,0.05,0.1,5,0.0016554372288810216,0.00855426960168025,0.21024543494908005,0.03349930469883709,3
10,0.05,0.1,6,0.11310633638131405,-0.07070824246064486,0.21024543494908005,0.018005780475193876,5
10,0.05,0.2,1,0.054190767481571776,-0.05521990652063057,0.23721001239505715,0.5402418191346199,6
10,0.05,0.2,2,0.06626165032479017,0.061061032038071894,0.23721001239505715,0.245055014389368,1
10,0.05,0.2,3,0.8374143000750986,-0.2170716975902254,0.23721001239505715,0.15246880727350254,4
10,0.05,0.2,4,3.309466708489844e-5,-0.001364620919061437,0.23721001239505715,0.10929589182963163,2
10,0.05,0.2,5,4.444454146690063e-4,0.005000831611512954,0.23721001239505715,0.03663573035648365,3
10,0.05,0.2,6,0.04165574203678552,0.048413942919368055,0.23721001239505715,0.01818141418780123,5
10,0.05,0.5,1,0.272052735880455,-0.12827145199192586,0.24592544277379083,0.6065010447437208,6
10,0.05,0.5,2,0.33306489088157176,-0.14192793681996876,0.24592544277379083,0.27397286343643834,4
10,0.05,0.5,3,0.3799364791363072,-0.151585953156835,0.24592544277379083,0.23379761618586128,1
10,0.05,0.5,4,0.0011851666916959114,0.008466290783697162,0.24592544277379083,0.15349604027333266,2
10,0.05,0.5,5,0.012123827668824739,0.027078421196055205,0.24592544277379083,0.040116067150609475,3
10,0.05,0.5,6,0.0016368997411454506,-0.009949803456542079,0.24592544277379083,0.01911450238424825,5
10,0.05,1,1,0.3237891430652694,-0.12959702436740353,0.2277528859329193,0.6909655698106524,6
10,0.05,1,2,0.08819779390068612,0.06763831031648328,0.2277528859329193,0.4215030900777569,4
10,0.05,1,3,0.14280189524643064,0.0860658524148378,0.2277528859329193,0.24657743218244005,1
10,0.05,1,4,0.4204726801928663,-0.14768377342766337,0.2277528859329193,0.1845180619517686,2
10,0.05,1,5,0.02404752456580417,0.03531824194223947,0.2277528859329193,0.04163381125032847,3
10,0.05,1,6,6.909630289433264e-4,0.005986752358538284,0.2277528859329193,0.02053883734381719,5
10,0.1,0.01,1,0.0243824025937168,-0.03223677847983003,0.2064492863567508,0.38489653569965776,6
10,0.1,0.01,2,0.00536693726809007,-0.015124347438692051,0.2064492863567508,0.24935687685259675,1
10,0.1,0.01,3,0.0138354836461587,0.024283459546770473,0.2064492863567508,0.09513784937110158,2
10,0.1,0.01,4,0.01835073008776209,-0.027966625039644855,0.2064492863567508,0.03324386694694732,3
10,0.1,0.01,5,0.8990195859106296,-0.19574828357556429,0.2064492863567508,0.025030779146348017,5
10,0.1,0.01,6,0.039044860493642725,-0.0407939090865356,0.2064492863567508,0.020470041912143966,4
10,0.1,0.02,1,0.030826707966107068,-0.032007239113732745,0.18229914853937573,0.39935247768848364,6
10,0.1,0.02,2,0.008755148690379858,-0.017057540193598616,0.18229914853937573,0.2483328570863806,1
10,0.1,0.02,3,0.055706010621802936,0.04302646525409927,0.18229914853937573,0.0963789077117082,2
10,0.1,0.02,4,0.09250412962164312,-0.055445359127373556,0.18229914853937573,0.03478589406245186,3
10,0.1,0.02,5,0.00757032226127038,-0.01586141119061113,0.18229914853937573,0.029399313417810394,4
10,0.1,0.02,6,0.8046376808387967,-0.16352525064667597,0.18229914853937573,0.025060990157976,5
10,0.1,0.05,1,0.01263018561837462,-0.019093753698546278,0.16989728917365535,0.4533996719917908,6
10,0.1,0.05,2,0.008867720763377798,0.015998985839622625,0.16989728917365535,0.24842474704729245,1
10,0.1,0.05,3,0.19363971232303953,0.07476247390694267,0.16989728917365535,0.10080879031240471,2
10,0.1,0.05,4,0.29101855509289115,-0.09165302207322602,0.16989728917365535,0.05567101483426066,4
10,0.1,0.05,5,3.8201593838962795e-6,3.3206812570347186e-4,0.16989728917365535,0.03359103185268075,3
10,0.1,0.05,6,0.49384000604293293,-0.11939319771778382,0.16989728917365535,0.025154472442595856,5
10,0.1,0.1,1,0.003890107658720976,-0.010425136344165148,0.16714790333298082,0.4871898774241391,6
10,0.1,0.1,2,0.019018803193163035,0.023051146212746548,0.16714790333298082,0.24772358851321538,1
10,0.1,0.1,3,0.46312080482712514,0.11374912875146467,0.16714790333298082,0.10997610303085362,2
10,0.1,0.1,4,0.24995170642349254,-0.08356587910656112,0.16714790333298082,0.08603153451398163,4
10,0.1,0.1,5,9.059537274666952e-4,0.00503099564477436,0.16714790333298082,0.03501792927702924,3
10,0.1,0.1,6,0.26311262417003156,-0.08573768960817776,0.16714790333298082,0.02527793026396834,5
10,0.1,0.2,1,0.0386123813420288,-0.04320170022668451,0.21985560687126646,0.5555003274154362,6
10,0.1,0.2,2,0.015810939337643534,0.027644986481286653,0.21985560687126646,0.24610353163459725,1
10,0.1,0.2,3,0.8723398309900412,-0.20534323378565938,0.21985560687126646,0.14758626569444183,4
10,0.1,0.2,4,1.2803323739345818e-8,2.4877051727597506e-5,0.21985560687126646,0.11431072678976945,2
10,0.1,0.2,5,5.561294541721474e-4,-0.005184722231447077,0.21985560687126646,0.037303739912410025,3
10,0.1,0.2,6,0.07268070607279051,0.05927166327739673,0.21985560687126646,0.025546923768612936,5
10,0.1,0.5,1,0.12422894762475711,-0.07800320388040284,0.22130999992473604,0.6213111965177962,6
10,0.1,0.5,2,0.3796018426769724,0.13635315584819035,0.22130999992473604,0.2681555118052977,4
10,0.1,0.5,3,0.43119219052093954,0.14532371160407184,0.22130999992473604,0.23474539023236757,1
10,0.1,0.5,4,0.04210865049057039,0.04541368044035518,0.22130999992473604,0.15663466361088113,2
10,0.1,0.5,5,5.192610051783029e-4,0.005043057185926738,0.22130999992473604,0.04039036412875226,3
10,0.1,0.5,6,0.022349107681582197,-0.033084999471292294,0.22130999992473604,0.026640395958528854,5
10,0.1,1,1,0.24860978674460193,-0.08875281590263358,0.1780012411382801,0.7054313935887261,6
10,0.1,1,2,0.20473384928221,0.08054115557680543,0.1780012411382801,0.4143993542616999,4
10,0.1,1,3,0.1733537631631188,0.07411219351672337,0.1780012411382801,0.24926932723620657,1
10,0.1,1,4,0.32752221749763366,-0.1018693214556194,0.1780012411382801,0.1857590098503052,2
10,0.1,1,5,0.02753546011516309,0.029537191551379564,0.1780012411382801,0.041915039670332735,3
10,0.1,1,6,0.01824492319727253,0.024043298609856604,0.1780012411382801,0.028401699931086353,5
10,0.2,0.01,1,0.007935725219089975,-0.013819007613297976,0.15512562536147909,0.45711667504813014,6
10,0.2,0.01,2,0.006337203391752322,-0.012349016425352133,0.15512562536147909,0.2526476082966645,1
10,0.2,0.01,3,0.024573663984721134,0.02431747639925624,0.15512562536147909,0.10752400812638188,2
10,0.2,0.01,4,0.4329340156128714,-0.10206912696859943,0.15512562536147909,0.03726762985948075,5
10,0.2,0.01,5,0.5153168316067992,-0.11135781714613359,0.15512562536147909,0.03380517467508069,5
10,0.2,0.01,6,0.012902560184766028,-0.017620632440062442,0.15512562536147909,0.020196047434387892,4
10,0.2,0.02,1,0.012342415397497537,-0.017545421768299315,0.1579296718701335,0.47717062727143256,6
10,0.2,0.02,2,0.005377825923721361,-0.011581561113585912,0.1579296718701335,0.25158345889735445,1
10,0.2,0.02,3,0.0633937362428121,0.03976371087351735,0.1579296718701335,0.10868498534028594,2
10,0.2,0.02,4,0.5038208306297774,-0.11209901404692195,0.1579296718701335,0.037712185168816394,5
10,0.2,0.02,5,0.40249260564364886,0.10019422402278032,0.1579296718701335,0.03397973888956618,5
10,0.2,0.02,6,0.012572586162542629,-0.017708266259039148,0.1579296718701335,0.0292907220149721,4
10,0.2,0.05,1,0.006781756359322616,-0.010802101700616242,0.13117080086671631,0.5062712175017623,6
10,0.2,0.05,2,0.005089067271831,-0.009357423085194836,0.13117080086671631,0.25030350005284674,1
10,0.2,0.05,3,0.045276024546551275,0.027910737581569738,0.13117080086671631,0.11268791311326602,2
10,0.2,0.05,4,0.22426155432964381,-0.062117588024615665,0.13117080086671631,0.05280122321837805,4
10,0.2,0.05,5,0.1838683911032219,-0.056245878981579595,0.13117080086671631,0.03706752230308175,5
10,0.2,0.05,6,0.5347232063894295,-0.09591834712564813,0.13117080086671631,0.03405690604280514,5
10,0.2,0.1,1,0.018630342972126287,-0.019407913337950108,0.14218979211034663,0.5440117441080577,6
10,0.2,0.1,2,0.0037780911721706873,0.008739863226909821,0.14218979211034663,0.24939360290281287,1
10,0.2,0.1,3,0.2202169801238348,0.06672580479959818,0.14218979211034663,0.11991227917086424,2
10,0.2,0.1,4,0.21965184018530823,-0.06664013102096852,0.14218979211034663,0.08204367886850203,4
10,0.2,0.1,5,0.167520015641918,-0.05819715731203005,0.14218979211034663,0.037869073230087556,3
10,0.2,0.1,6,0.370202729904642,-0.08651436564627878,0.14218979211034663,0.034387048288067705,5
10,0.2,0.2,1,2.8379542428548545e-6,2.650881321277131e-4,0.15735755195226964,0.5826791641185839,6
10,0.2,0.2,2,0.0021506249567720868,0.007297429889377033,0.15735755195226964,0.24748457284751676,1
