interval,ebar,s,dAI,comp,nch,z
0.01,0.14173528274492456,0.2139395689868866,NA,total,5,0.1
0.02,0.09519944148742292,0.22958964722457073,NA,total,5,0.1
0.05,7.038343721459004e-4,0.28398661695594984,NA,total,5,0.1
0.1,-0.00896563571662861,0.26866862618892035,NA,total,5,0.1
0.2,-0.05442957005880258,0.24011033364902273,NA,total,5,0.1
0.5,-0.0667024617176285,0.1622698655269273,NA,total,5,0.1
1,-0.05008360465127876,0.17926440104185698,NA,total,5,0.1
0.01,-0.005710071286316981,0.039916113964224335,NA,sample,5,0.1
0.02,-0.011342802418043753,0.07695341039489162,NA,sample,5,0.1
0.05,-0.02578979648828159,0.1437532503330622,NA,sample,5,0.1
0.1,-0.028802670908486424,0.18280958771721217,NA,sample,5,0.1
0.2,-0.04060892633486649,0.19750548039066854,NA,sample,5,0.1
0.5,-0.08654335941617576,0.16306843186649797,NA,sample,5,0.1
1,-0.07970029580904098,0.11682829235359987,NA,sample,5,0.1
0.01,0.14745483594933487,0.196913523520258,NA,corr,5,0.1
0.02,0.10656018578838997,0.18182448601038878,NA,corr,5,0.1
0.05,0.026514283333429957,0.15657681798451084,NA,corr,5,0.1
0.1,0.019888282819662095,0.1167675019689454,NA,corr,5,0.1
0.2,-0.01377919957057156,0.07667425222636876,NA,corr,5,0.1
0.5,0.019830084925726823,0.0772255485972696,NA,corr,5,0.1
1,0.02960920565797714,0.12121267582551536,NA,corr,5,0.1
0.01,-0.014310175209010316,0.11464689277005517,NA,total,5,1
0.02,-0.024341006370203512,0.12690621233921762,NA,total,5,1
0.05,-0.026600739392142136,0.10700189206822953,NA,total,5,1
0.1,-0.009541539249983636,0.10857802790081315,NA,total,5,1
0.2,-0.023327107021725007,0.10730844536724479,NA,total,5,1
0.5,-0.01996715021476023,0.09263904838939785,NA,total,5,1
1,0.005801127451703727,0.15364647016914124,NA,total,5,1
0.01,-0.003231357291712255,0.006088509660135602,NA,sample,5,1
0.02,-0.003499088990780484,0.008417493373262594,NA,sample,5,1
0.05,-0.005561702711107056,0.017917594972419466,NA,sample,5,1
0.1,-0.011688349099935595,0.03088529022264857,NA,sample,5,1
0.2,-0.015277267725286172,0.049174324177186327,NA,sample,5,1
0.5,-0.029350698410846407,0.05903982447548479,NA,sample,5,1
1,-0.012202957420891301,0.10596727254265381,NA,sample,5,1
0.01,-0.01108823813247128,0.1105905038094205,NA,corr,5,1
0.02,-0.020841556125838587,0.11990424420457983,NA,corr,5,1
0.05,-0.021030445521846262,0.09169606601210628,NA,corr,5,1
