interval,ebar,s,wmax,lmax,lmin,lmax_m,lmax_lo,lmax_hi,lmin_m,lmin_lo,lmin_hi,ebar_m,ebar_lo,ebar_hi,s2_m,s2_lo,s2_hi,nch,z
0.01,0.14173528274492456,0.2139395689868866,0.48098881315635267,1.6176731881434496,0.8657875465203986,1.620221349513409,1.57438134177804,1.665894044380392,0.8623349080235808,0.8305993312579113,0.8917134054576719,0.1411521487723931,0.1188433061080142,0.1612071434689855,0.04686393388172475,0.0420056402200225,0.05304413521893354,5,0.1
0.02,0.09519944148742292,0.22958964722457073,0.48631214805841055,1.6263075657378225,0.8122672047707413,1.628159441191371,1.579538591515252,1.677868745137881,0.808704844515045,0.77501429830854,0.8517927612873897,0.09471272826702486,0.07779795137303414,0.1160768437188528,0.05365892959904205,0.04676623791845778,0.06251935478457227,5,0.1
0.05,7.038343721459004e-4,0.28398661695594984,0.43707351413120976,1.528777901260079,0.6459239451275358,1.530580583362094,1.484799850139932,1.578870516780792,0.6440879023706355,0.5957732982788905,0.6840591819722881,1.9179991411979e-4,-0.01926541058873277,0.01429055214445174,0.08171704993036304,0.07097551752531653,0.09434466380928448,5,0.1
0.1,-0.00896563571662861,0.26866862618892035,0.4127110442806234,1.4821385565332057,0.6618535015543091,1.484067111365263,1.425998008535869,1.530545502768165,0.6599341116990916,0.6273235450745163,0.6992055598214417,-0.00944411211221307,-0.02496290512672733,0.00811562820486767,0.07313564737328222,0.06292108576449307,0.08220504288217009,5,0.1
0.2,-0.05442957005880258,0.24011033364902273,0.4340417398533249,1.3639880480996687,0.6478852122872327,1.366008506131914,1.319251619931508,1.401833009684703,0.6462123944091752,0.6181751902643962,0.6720319176519471,-0.05489907455684701,-0.07462143626971332,-0.03957056951669831,0.05856394498986184,0.05334865959597111,0.06601255130154543,5,0.1
0.5,-0.0667024617176285,0.1622698655269273,0.34276003694583806,1.1839356072971672,0.7098085189457276,1.187207083516304,1.148404636565882,1.237747904501603,0.7080498438372858,0.6837424382321597,0.736778039428466,-0.06716305308727567,-0.0835574802699712,-0.04803518965606927,0.02719374641796257,0.02293559377763311,0.03176060356549346,5,0.1
1,-0.05008360465127876,0.17926440104185698,0.31436716350853827,1.3104106615636915,0.7302508574642512,1.312013161962762,1.253270955548394,1.369006663944752,0.7280293943411712,0.7012406064881004,0.7559096219546153,-0.0505997329793122,-0.07479740153304446,-0.03193603982067847,0.03306786020464689,0.02763236358047344,0.03945625899967306,5,0.1
0.01,-0.014310175209010316,0.11464689277005517,0.20085155512351915,1.148201044989654,0.8180338554758901,1.154992204828746,1.121258277902056,1.195945041985352,0.8117092512535925,0.718188221507702,0.8987955764567457,-0.01506874376949258,-0.03976100496780265,0.01035880385519282,0.01465229078878327,0.00787737436778466,0.02475473661640291,5,1
0.02,-0.024341006370203512,0.12690621233921762,0.24102594339798855,1.1617627767856067,0.7858212392507331,1.165403657663867,1.135360494028361,1.201540866123164,0.783186356266783,0.7376147519361917,0.8390764366093868,-0.0248118591710395,-0.04236713819161747,-0.00777296300903072,0.01701995480587733,0.01238981477797831,0.02228679089857356,5,1
0.05,-0.026600739392142136,0.10700189206822953,0.2125434554770557,1.1120071217793266,0.8085251807106013,1.117407695022175,1.089985640298927,1.153048073428845,0.805308005010643,0.7271167480666663,0.8731689768362563,-0.02710584944466535,-0.04802267023357858,-0.00853440923733445,0.01242435616579843,0.00689785550392972,0.0202689607016329,5,1
0.1,-0.009541539249983636,0.10857802790081315,0.1668737047209269,1.181605024748016,0.8741248466655536,1.185221908807838,1.149465834221076,1.220346129200951,0.8542053993618802,0.804869743460382,0.8941536274562956,-0.0100625227081763,-0.02827179577790176,0.00903760425258496,0.01278531394557953,0.00906254090501097,0.01756651034831448,5,1
