"comp","D","floor","n","a","b","A","R2","spread","se_a","se_b","lq_ref","se_ref","q_ref","q_lo","q_hi"
"bias",0.01,0.00153119115428656,14,-0.928194886470043,-0.650555911063667,0.0166725176262486,0.937081873633979,1.18886460103029,0.0889551320688006,0.062104977627072,-2.33327676558405,0.0733828645400943,0.00464219344947795,0.00392049017547013,0.00549675144123829
"bias",0.02,0.00159288710025009,13,-0.89767333272487,-0.663725878187587,0.0120005639798141,0.938857007346928,1.12270049014817,0.0902776524204763,0.0605984441925827,-2.38869325239647,0.0755954252958371,0.00408607889277208,0.00343329659111703,0.0048629765226678
"bias",0.05,0.00196204182941087,12,-0.889604920113572,-0.536057007432601,0.017400184479347,0.949696182235953,1.11804215921795,0.0739302444668151,0.0560796907610475,-2.46654197260016,0.061946587545928,0.00341552939541925,0.00296149797388716,0.0039391690130589
"bias",0.1,0.00104499848038056,15,-0.858150673360307,-0.614587390263012,0.0109736677954795,0.928275958287267,1.12404109223333,0.0844206871944995,0.0652781897189114,-2.44677475747996,0.0693124137645246,0.00357458182220621,0.00304728327995235,0.00419312352340505
"bias",0.2,0.00141255692265679,13,-0.837084591174239,-0.6189283027692,0.0144163137134641,0.917825285114779,1.12947980255734,0.0984304277793658,0.0778330593578271,-2.27745835238819,0.0826669060096181,0.00527887827303129,0.00436389951318711,0.00638570061874084
"bias",0.5,0.000861593142490633,14,-1.19808492326574,-0.681216847361254,0.0265979632037933,0.916118614777049,1.22158179137512,0.128573839120699,0.0794309969545266,-2.60888777093811,0.108118906760513,0.00246100348703435,0.00191863923950541,0.0031566841949696
"bias",1,0.0012895885386828,11,-1.11024592036019,-0.699360439867712,0.0153033971394031,0.943216334676681,1.07432702132702,0.144258759366735,0.0681298882687589,-2.63698311218497,0.135915198802114,0.00230683688978444,0.00168694797397713,0.00315451129386311
"total",0.01,0.00830188699667389,40,-0.395996914730726,-0.654426841987646,0.0446829587295438,0.958959761342456,1.11309642243445,0.0152218029859975,0.0295507340439304,-0.832998222820321,0.0147416655039068,0.146893228866031,0.141990769134093,0.151964953907045
"total",0.02,0.00726776193695439,41,-0.410897841736574,-0.63370057175157,0.0494885472376126,0.963453496678888,1.1234692402201,0.01465923515569,0.027688952178989,-0.859889834915144,0.0144866188143618,0.138073446347717,0.133543743516507,0.142756793274853
"total",0.05,0.00759098273504689,36,-0.444355500083154,-0.618685588009299,0.0532189040650013,0.939280482979615,1.12148309120869,0.0223720057395365,0.0393077710522948,-0.925273897251075,0.0194061569179473,0.118775290899611,0.113584728905704,0.124203049689885
"total",0.1,0.00819971140928624,30,-0.442403290991756,-0.606526313170599,0.0479044612512043,0.927274329681037,1.16426144692866,0.0307535194172356,0.0421373934374022,-0.991377995326709,0.0232882608437196,0.102005127886793,0.096679354887909,0.107624281598328
"total",0.2,0.00676351961508195,24,-0.560596426573377,-0.589862396177609,0.0502170450905495,0.919567055982288,1.13285993607895,0.0448659137726827,0.0488445485564113,-1.24061690674806,0.0311700249159716,0.0574623116529055,0.0534826685278735,0.0617380798561833
"total",0.5,0.00852568241287645,13,-0.597461580098079,-0.298256698464235,0.0988972087293908,0.770155923554463,1.2375076229133,0.135667838137758,0.0639855766348746,-1.6032257290065,0.118923959074285,0.0249329847267532,0.018960522970959,0.0327867394974637
"total",1,0.00914869792844653,18,-0.762362740326096,-0.240935021388628,0.283646378385847,0.917546373106252,1.13143090267691,0.066190836524433,0.0305360011251087,-1.59007819503709,0.0549022523869713,0.0256993302280154,0.0226474626750375,0.0291624533681893
"sample",0.01,2.1047824961093e-05,54,0.152386015272519,-1.32118936829644,9.7941935874535e-06,0.937233292856214,1.30786646003312,0.0261880735991316,0.0480417833788942,-2.06188054903327,0.0343902906715313,0.0086720036296357,0.00801178267581451,0.00938663091541849
"sample",0.02,6.45364313310354e-05,54,0.0452319521311601,-1.14427269328597,8.00327181750079e-05,0.884305490354586,1.4359021099591,0.0316438559574826,0.0580503666078257,-1.71772314194864,0.0415548474853065,0.019154766315936,0.0174069230944496,0.0210781118884306
"sample",0.05,0.000148156455274668,54,-0.193173978265626,-0.862808822683222,0.00172093713105536,0.811402934614504,1.55242349113231,0.0359259796256277,0.0646947317624256,-1.42496530611003,0.0468330546497097,0.0375867429496991,0.0337443944651867,0.0418666053416447
"sample",0.1,0.000331831122279592,52,-0.393001816063923,-0.683689805023231,0.0116131194579915,0.797214990634744,1.52253307982789,0.0361110318289005,0.07718764699787,-1.35367512866313,0.0478310203146443,0.0442919571754035,0.0396728911787911,0.0494488153532036
"sample",0.2,0.000684840320488697,47,-0.496938039536884,-0.493541159501427,0.0366922213958795,0.871532590426252,1.31031577998918,0.0326518137771783,0.0639154846973524,-1.44221975475354,0.0387368210287764,0.0361227034056287,0.0330402575663555,0.0394927218321608
"sample",0.5,0.00131810215946876,26,-0.847869382851139,-0.515804624870033,0.0613376426188517,0.925749172503772,1.2293422305705,0.0562347723835451,0.0487107518179143,-1.87640243517486,0.0396592156911809,0.0132922213508399,0.0121321661441959,0.0145631988830164
"sample",1,0.00273592730732938,20,-0.82875564732538,-0.23683915337851,0.126869086499725,0.889763863683262,1.19505901718665,0.0760777562661598,0.0437803398758795,-2.08047717508288,0.0626717492234872,0.00830850383988053,0.00719202313410311,0.00959830561862036
"corr",0.01,0.00842843500822772,28,-0.446860071398983,-0.563382401855928,0.0565017713081051,0.938280620744669,1.12655287072779,0.0300935785267477,0.037996581664717,-1.01489327609362,0.0224191961840566,0.0966288306350594,0.0917672099322929,0.101748009085032
"corr",0.02,0.00711805748618263,25,-0.532469567379377,-0.44245110951945,0.0904565934147396,0.887713154103516,1.16272124929191,0.0463194034315001,0.0520685200714083,-1.22359668748394,0.0331728514407785,0.0597589987726247,0.0553643825826524,0.0645024430458567
"corr",0.05,0.00773658846822505,17,-0.585426032992802,-0.376443910323589,0.075467469553288,0.919616626860921,1.17837650144206,0.053004257126646,0.0429868228018954,-1.54020445712612,0.0417492678173641,0.0288267407852449,0.026184619963865,0.0317354609479328
"corr",0.1,0.007847658287827,13,-0.507978939270239,-0.222755158816747,0.0627574555685832,0.912446355219602,1.12799460694756,0.0522812315126466,0.0354897020848211,-1.77278223362314,0.0445687985516324,0.0168739891833203,0.0152282138793546,0.0186976301498384
"corr",0.2,0.00578968562213408,7,-0.384118576920405,-0.240428073659547,0.0243393774506712,0.687286424712059,1.14231417074942,0.156587447712351,0.0859870588938594,-1.90107154081156,0.154339368778145,0.0125582307641897,0.0088021565906862,0.0179171045529361
"corr",0.5,0.00600868075342356,8,-0.323863745599436,-0.422359173589564,0.0121226971978041,0.823308542826363,1.20110269325499,0.181855255614932,0.0889193835545715,-1.71940988658202,0.177221124755656,0.0190805159181862,0.0126872935578325,0.0286953309659491
"corr",1,0.00639156178423549,10,-0.455058192834174,-0.493097045555501,0.0197576726786923,0.905247597790053,1.14247299621206,0.131894394233118,0.0603255028421108,-1.62818650826973,0.12506811633183,0.0235403812238318,0.0176500270534536,0.0313965268429943
