interval,r1_m,r1_lo,r1_hi,r2_m,r2_lo,r2_hi,nch,z,n,r2,r2lo,r2hi,r1
1,0.2639217193128374,0.1818475130043827,0.3328480986868433,9.262408032390452,9.184786762437133,9.36138576994421,5,0.1,10,-0.07375919676095477,-0.08152132375628673,-0.06386142300557895,0.026392171931283744
0.5,0.5811258376497704,0.5051934662223707,0.6487967874532001,18.89125943572467,18.7627518831253,19.0455639023946,5,0.1,20,-0.055437028213766504,-0.061862405843734924,-0.04772180488026989,0.02905629188248852
0.2,1.046722222554746,0.9203359113339156,1.195026198664259,48.62366505468712,48.43305284852156,48.80191826726576,5,0.1,50,-0.027526698906257585,-0.031338943029568744,-0.023961634654684705,0.02093444445109492
0.1,1.875485243385091,1.671067547895464,2.105202649491457,98.35816831576328,97.94937583277483,98.68540403659804,5,0.1,100,-0.016418316842367164,-0.02050624167225168,-0.013145959634019544,0.01875485243385091
0.05,3.51280702842968,3.196095360679976,3.802233671996333,198.0156180901467,197.6059168193531,198.5004910959547,5,0.1,200,-0.009921909549266528,-0.011970415903234555,-0.007497544520226551,0.0175640351421484
0.02,6.186452458562838,5.769702661661414,6.689195879772686,498.7394661654473,498.0341709584373,499.3131489478648,5,0.1,500,-0.0025210676691054257,-0.0039316580831253445,-0.0013737021042703468,0.012372904917125676
0.01,10.22580703805058,9.330081106657987,10.84606411708635,998.2848765964284,997.23074369264,999.2338908673272,5,0.1,1000,-0.0017151234035716056,-0.002769256307360024,-7.66109132672832e-4,0.01022580703805058
1,0.1277549911360793,0.06455248500384492,0.1978086610843437,9.802210188791204,9.71744265985631,9.89425861578211,5,1,10,-0.019778981120879613,-0.028255734014368983,-0.010574138421789003,0.01277549911360793
0.5,0.2836183135801698,0.1796478990050236,0.3647440026808457,19.65558109186746,19.55092980668321,19.79251046940633,5,1,20,-0.017220945406626997,-0.022453509665839477,-0.010374476529683485,0.01418091567900849
0.2,0.3727748697596571,0.2239176007937996,0.509721858999616,49.72261612509274,49.51793670845277,49.91855703594607,5,1,50,-0.005547677498145109,-0.009641265830944601,-0.0016288592810785874,0.007455497395193142
0.1,0.5195958816359583,0.3212506297062437,0.7257218478358075,99.72300000767272,99.42560651121404,100.0366707249599,5,1,100,-0.002769999923272759,-0.005743934887859625,3.6670724959897427e-4,0.005195958816359583
0.05,1.135687570478437,0.8060681915622219,1.419890000949307,199.8458489098681,199.4323740502404,200.2231250334967,5,1,200,-7.707554506595216e-4,-0.002838129748797935,0.001115625167483536,0.005678437852392185
0.02,1.804513836448359,1.308418950170031,2.319076509998564,499.8309645388906,499.2343478140097,500.5433465078407,5,1,500,-3.3807092221882495e-4,-0.0015313043719805686,0.001086693015681428,0.0036090276728967183
0.01,3.279652841249819,2.649318860966772,3.875473068751623,999.2368180191172,998.3817498841128,1000.06844606838,5,1,1000,-7.631819808827656e-4,-0.001618250115887232,6.844606837996814e-5,0.003279652841249819
1,0.2184848815846117,0.1510083201064458,0.2826411264728932,9.363932511937916,9.285730936287043,9.450621766824952,10,0.05,10,-0.06360674880620842,-0.07142690637129567,-0.05493782331750485,0.02184848815846117
0.5,0.4947121339788705,0.3977086158218047,0.5880385359013778,18.84668414796275,18.74954958114966,18.95466144466392,10,0.05,20,-0.05766579260186244,-0.06252252094251687,-0.05226692776680397,0.024735606698943525
0.2,1.169857210499379,1.036086551783512,1.288923462567463,48.60640132219699,48.43412347385041,48.80502426281436,10,0.05,50,-0.027871973556060303,-0.0313175305229918,-0.02389951474371288,0.023397144209987578
0.1,1.795038824249465,1.557264488644495,1.98598680920072,98.3761763249084,98.09980807966949,98.65761047860836,10,0.05,100,-0.016238236750915958,-0.019001919203305184,-0.013423895213916404,0.01795038824249465
0.05,3.160073647145783,2.855468468372153,3.440321967139168,198.6457124155807,198.252539954055,199.0980877475165,10,0.05,200,-0.006771437922096446,-0.008737300229724965,-0.004509561262417527,0.015800368235728914
0.02,6.127264794120086,5.64094954717223,6.579824166355191,498.5177948708914,497.8741530415276,499.4081629377026,10,0.05,500,-0.0029644102582171428,-0.004251693916944799,-0.0011836741245947469,0.012254529588240172
0.01,8.752409730799975,8.0871464716572,9.300646114005076,998.7762513676812,997.834152777736,999.8270829244684,10,0.05,1000,-0.0012237486323187774,-0.0021658472222639835,-1.7291707553157565e-4,0.008752409730799975
1,0.2061169457836848,0.1313431123873993,0.2626440795556897,9.438593080294456,9.341147717814524,9.517052776241034,10,0.1,10,-0.05614069197055438,-0.06588522821854759,-0.048294722375896604,0.02061169457836848
0.5,0.473466036796399,0.3733606839361174,0.55586417713675,19.13644545636081,19.03214662502447,19.27658627863715,10,0.1,20,-0.04317772718195945,-0.04839266874877646,-0.036170686068142444,0.02367330183981995
0.2,0.9873499568177658,0.8514321566850385,1.124114576052574,48.8920304933762,48.69483724143966,49.09138005184819,10,0.1,50,-0.02215939013247603,-0.02610325517120682,-0.01817239896303624,0.019746999136355317
0.1,1.559647777101733,1.363850546217364,1.74961028681154,98.98014365029285,98.69455424929292,99.21896124797291,10,0.1,100,-0.0101985634970716,-0.013054457507070794,-0.007810387520270856,0.015596477771017329
0.05,2.560504142134799,2.236758568301311,2.827339379838791,198.7484418143336,198.2821133113535,199.0699129041695,10,0.1,200,-0.006257790928332008,-0.008589433443232486,-0.004650435479152448,0.012802520710673995
0.02,4.488042573239643,4.064478081155467,4.954468504749478,499.4584125019047,498.5618910438533,500.3764273705417,10,0.1,500,-0.0010831749961905945,-0.0028762179122934217,7.528547410833308e-4,0.008976085146479287
0.01,7.128341511491718,6.207430529080048,7.822461333172305,998.0866969034524,997.2101795650694,999.1360598725232,10,0.1,1000,-0.0019133030965475806,-0.00278982043493059,-8.639401274768144e-4,0.007128341511491718
1,0.1460119943167635,0.08211761030413871,0.2116482797766073,9.542913597198057,9.445368365441102,9.63090365594178,10,0.2,10,-0.04570864028019428,-0.05546316345588986,-0.036909634405821956,0.014601199431676351
0.5,0.3958709292028052,0.3037942897295534,0.4809506197976983,19.35854339443794,19.25873471449824,19.46884813432192,10,0.2,20,-0.032072830278102926,-0.037063264275088104,-0.026557593283903946,0.01979354646014026
0.2,0.8410029403394502,0.6403034398308864,0.9969560348224572,49.27406974637923,49.07484939454824,49.46111261583607,10,0.2,50,-0.014518605072415314,-0.018503012109035266,-0.010777747683278549,0.016820058806789006
0.1,1.372217685293981,1.190921460853059,1.530887496866356,99.37620098634048,99.08072206825184,99.61830608944535,10,0.2,100,-0.006237990136595206,-0.009192779317481525,-0.0038169391055464796,0.01372217685293981
0.05,1.894158868646427,1.551957926103083,2.222986579331618,199.1001628233156,198.6581670118458,199.5287377974248,10,0.2,200,-0.004499185883422019,-0.006709164940771006,-0.0023563110128759224,0.009470794343232135
0.02,3.431795919250641,3.030676858628798,3.953035837949527,499.6150014062857,498.8982152098964,500.2985305059071,10,0.2,500,-7.699971874285394e-4,-0.0022035695802071764,5.970610118142261e-4,0.006863591838501282
0.01,5.080247161005249,4.413739136161992,5.90308115222874,999.3718578676446,998.3580309478012,1000.2517977837,10,0.2,1000,-6.281421323554026e-4,-0.0016419690521987107,2.5179778369999184e-4,0.0050802471610052495
1,0.1219109841779306,0.05973724556316061,0.1787042694493303,9.738067633991273,9.64995091251266,9.823109439446151,10,0.5,10,-0.026193236600872694,-0.035004908748734076,-0.017689056055384844,0.01219109841779306
0.5,0.2658356103405491,0.1833764873887445,0.346942035756355,19.78041450693481,19.65622715151498,19.90117354062095,10,0.5,20,-0.01097927465325943,-0.017188642424251,-0.004941322968952555,0.013291780517027455
0.2,0.4791789815307622,0.3458337138480345,0.6439825993020838,49.53351573806454,49.32810596238334,49.73305510742912,10,0.5,50,-0.009329685238709251,-0.013437880752333209,-0.005338897851417723,0.009583579630615244
0.1,0.7366955924890695,0.5670071725683736,0.9207825142666288,99.80317905979992,99.52655116340858,100.0795176223876,10,0.5,100,-0.00196820940200082,-0.004734488365914169,7.951762238760374e-4,0.007366955924890695
0.05,1.107619231695427,0.8255859950490251,1.480543914177283,199.9530105909086,199.430816609433,200.3642154061115,10,0.5,200,-2.349470454570124e-4,-0.0028459169528349815,0.0018210770305575608,0.005538096158477135
0.02,2.106464623280326,1.676740624668269,2.562100142243979,499.6099556944666,499.1265525794544,500.1060397895509,10,0.5,500,-7.800886110668204e-4,-0.00174689484109114,2.120795791018537e-4,0.004212929246560652
0.01,3.147416588888383,2.439109580837946,3.857270896085512,999.460660192324,998.5866678941132,1000.392800832105,10,0.5,1000,-5.393398076760647e-4,-0.0014133321058867887,3.928008321050225e-4,0.003147416588888383
1,0.07891747751547797,0.01559588003141436,0.1480617488816708,9.799204222935847,9.716671043034124,9.88833297847046,10,1,10,-0.02007957770641533,-0.02833289569658759,-0.011166702152954011,0.007891747751547797
