interval,p,J,smean,Jstep,G,param,nch,z
1,0,35.33775619307019,-0.07269889230442356,35.55251859750635,34.95786339958268,k_on,5,0.1
1,1,47.0557530068365,0.9038108669264692,41.18319577383718,40.21839157794616,k_off,5,0.1
1,2,157.6351254339793,-0.6639939667054029,157.6326312206062,156.7816371445828,i,5,0.1
1,3,6.052732592795951,-0.3320932778070527,5.971386173915563,6.47576608459421,S,5,0.1
1,4,1268.689273958605,0.4890307285701451,1269.049115006083,1381.063976943914,baseline,5,0.1
1,5,116.7972254336206,-0.1469031098475007,117.5968353327308,114.6211647645763,N_ch,5,0.1
0.5,0,41.1647571488868,0.0119106395369629,39.89570492364656,37.14187221017308,k_on,5,0.1
0.5,1,39.88723500759413,0.5716899143789881,38.19783072729184,37.24741860557393,k_off,5,0.1
0.5,2,203.9261786599334,-0.4045004217495751,202.2590419927944,197.3591831058617,i,5,0.1
0.5,3,14.72093409153821,-0.8248162750380149,14.49401037340809,16.52566371399,S,5,0.1
0.5,4,1461.310428443873,1.381178747284204,1482.763634103764,1594.869791505269,baseline,5,0.1
0.5,5,133.4778396533746,0.04716805086148319,130.4800044804869,125.2447606586692,N_ch,5,0.1
0.2,0,50.67836374281965,-0.02479095869511254,50.03302717142602,42.51817867706908,k_on,5,0.1
0.2,1,50.75139050382495,0.4512731360604331,48.35688968458017,42.16990112793091,k_off,5,0.1
0.2,2,306.6598738779908,-0.04125032653138814,315.2693902648186,286.8079872809211,i,5,0.1
0.2,3,50.70085869681589,-1.486885400844925,51.73229721288636,56.09626538918665,S,5,0.1
0.2,4,1650.251579341291,2.219278756659753,1661.3944288671,1734.953408222241,baseline,5,0.1
0.2,5,165.58123827946,0.05642843664576166,167.8855374022061,158.4688927413328,N_ch,5,0.1
0.1,0,60.3845844883083,-0.2444179388324898,54.46826321170313,46.23832364303068,k_on,5,0.1
0.1,1,63.70224905806897,0.3998387107559624,53.57523575539133,46.56368232354796,k_off,5,0.1
0.1,2,403.5386282354999,-0.08382318114257621,384.1049717356684,359.8277479557717,i,5,0.1
0.1,3,139.539967866706,-1.852222628291073,144.9149732353839,146.1244300121349,S,5,0.1
0.1,4,1744.181616597052,4.297659238907473,1730.973345526461,1770.838394568707,baseline,5,0.1
0.1,5,210.9707586558805,-0.04581722876956082,198.0876104291997,198.7511778099268,N_ch,5,0.1
0.05,0,66.51404342297553,-0.4331701932236484,54.26671587336151,48.33305390875407,k_on,5,0.1
0.05,1,66.80441199174193,0.6483473008361154,53.95935784047295,48.82275135935768,k_off,5,0.1
0.05,2,466.9938790265991,-0.0923773872346719,424.3185136277849,418.579968323699,i,5,0.1
0.05,3,367.1927922940947,-2.515872775433314,375.1988777455201,371.7469698391794,S,5,0.1
0.05,4,1792.510748045141,6.410286931091902,1771.098714935621,1800.555207758467,baseline,5,0.1
