i_step,patch_current,i_state,N_state
0,2.269406755369208,0,5000
0,2.269406755369208,1,0
0,2.269406755369208,2,0
0,2.269406755369208,3,0
0,2.269406755369208,4,0
0,2.269406755369208,5,0
0,2.269406755369208,6,0
0,2.269406755369208,7,0
0,2.269406755369208,8,0
1,4.294834617556217,0,5000
1,4.294834617556217,1,0
1,4.294834617556217,2,0
1,4.294834617556217,3,0
1,4.294834617556217,4,0
1,4.294834617556217,5,0
1,4.294834617556217,6,0
1,4.294834617556217,7,0
1,4.294834617556217,8,0
2,0.9964624298229973,0,5000
2,0.9964624298229973,1,0
2,0.9964624298229973,2,0
2,0.9964624298229973,3,0
2,0.9964624298229973,4,0
2,0.9964624298229973,5,0
2,0.9964624298229973,6,0
2,0.9964624298229973,7,0
2,0.9964624298229973,8,0
3,2.045573376347031,0,5000
3,2.045573376347031,1,0
3,2.045573376347031,2,0
3,2.045573376347031,3,0
3,2.045573376347031,4,0
3,2.045573376347031,5,0
3,2.045573376347031,6,0
3,2.045573376347031,7,0
3,2.045573376347031,8,0
4,1.221020594069174,0,5000
4,1.221020594069174,1,0
4,1.221020594069174,2,0
4,1.221020594069174,3,0
4,1.221020594069174,4,0
4,1.221020594069174,5,0
4,1.221020594069174,6,0
4,1.221020594069174,7,0
4,1.221020594069174,8,0
5,6.530826825116296,0,5000
5,6.530826825116296,1,0
5,6.530826825116296,2,0
5,6.530826825116296,3,0
5,6.530826825116296,4,0
5,6.530826825116296,5,0
5,6.530826825116296,6,0
5,6.530826825116296,7,0
5,6.530826825116296,8,0
6,2.57081841015873,0,5000
6,2.57081841015873,1,0
6,2.57081841015873,2,0
6,2.57081841015873,3,0
6,2.57081841015873,4,0
6,2.57081841015873,5,0
6,2.57081841015873,6,0
6,2.57081841015873,7,0
6,2.57081841015873,8,0
7,1.18554842027881,0,5000
7,1.18554842027881,1,0
7,1.18554842027881,2,0
7,1.18554842027881,3,0
7,1.18554842027881,4,0
7,1.18554842027881,5,0
7,1.18554842027881,6,0
7,1.18554842027881,7,0
7,1.18554842027881,8,0
8,0.2264458494564577,0,5000
8,0.2264458494564577,1,0
8,0.2264458494564577,2,0
8,0.2264458494564577,3,0
8,0.2264458494564577,4,0
8,0.2264458494564577,5,0
8,0.2264458494564577,6,0
8,0.2264458494564577,7,0
8,0.2264458494564577,8,0
9,0.9123689144395323,0,5000
9,0.9123689144395323,1,0
9,0.9123689144395323,2,0
9,0.9123689144395323,3,0
9,0.9123689144395323,4,0
9,0.9123689144395323,5,0
9,0.9123689144395323,6,0
9,0.9123689144395323,7,0
9,0.9123689144395323,8,0
10,1.490259789623445,0,5000
10,1.490259789623445,1,0
10,1.490259789623445,2,0
10,1.490259789623445,3,0
10,1.490259789623445,4,0
10,1.490259789623445,5,0
10,1.490259789623445,6,0
10,1.490259789623445,7,0
10,1.490259789623445,8,0
11,2.620999227877332,0,5000
11,2.620999227877332,1,0
11,2.620999227877332,2,0
11,2.620999227877332,3,0
11,2.620999227877332,4,0
11,2.620999227877332,5,0
11,2.620999227877332,6,0
11,2.620999227877332,7,0
11,2.620999227877332,8,0
12,-1.157250366070521,0,5000
12,-1.157250366070521,1,0
12,-1.157250366070521,2,0
12,-1.157250366070521,3,0
12,-1.157250366070521,4,0
12,-1.157250366070521,5,0
12,-1.157250366070521,6,0
12,-1.157250366070521,7,0
12,-1.157250366070521,8,0
13,-3.352699454629909,0,5000
13,-3.352699454629909,1,0
13,-3.352699454629909,2,0
13,-3.352699454629909,3,0
13,-3.352699454629909,4,0
13,-3.352699454629909,5,0
13,-3.352699454629909,6,0
13,-3.352699454629909,7,0
13,-3.352699454629909,8,0
14,1.712853345344965,0,5000
14,1.712853345344965,1,0
14,1.712853345344965,2,0
14,1.712853345344965,3,0
14,1.712853345344965,4,0
14,1.712853345344965,5,0
14,1.712853345344965,6,0
14,1.712853345344965,7,0
14,1.712853345344965,8,0
15,-1.126931639735662,0,5000
15,-1.126931639735662,1,0
15,-1.126931639735662,2,0
15,-1.126931639735662,3,0
15,-1.126931639735662,4,0
15,-1.126931639735662,5,0
15,-1.126931639735662,6,0
15,-1.126931639735662,7,0
15,-1.126931639735662,8,0
16,0.780176136449907,0,5000
16,0.780176136449907,1,0
16,0.780176136449907,2,0
16,0.780176136449907,3,0
16,0.780176136449907,4,0
16,0.780176136449907,5,0
16,0.780176136449907,6,0
16,0.780176136449907,7,0
