i_step,patch_current,i_state,N_state
0,2.793868923134726,0,5000
0,2.793868923134726,1,0
0,2.793868923134726,2,0
0,2.793868923134726,3,0
0,2.793868923134726,4,0
0,2.793868923134726,5,0
0,2.793868923134726,6,0
0,2.793868923134726,7,0
1,3.103606586825851,0,5000
1,3.103606586825851,1,0
1,3.103606586825851,2,0
1,3.103606586825851,3,0
1,3.103606586825851,4,0
1,3.103606586825851,5,0
1,3.103606586825851,6,0
1,3.103606586825851,7,0
2,4.338323407214745,0,5000
2,4.338323407214745,1,0
2,4.338323407214745,2,0
2,4.338323407214745,3,0
2,4.338323407214745,4,0
2,4.338323407214745,5,0
2,4.338323407214745,6,0
2,4.338323407214745,7,0
3,-0.5320972521515119,0,5000
3,-0.5320972521515119,1,0
3,-0.5320972521515119,2,0
3,-0.5320972521515119,3,0
3,-0.5320972521515119,4,0
3,-0.5320972521515119,5,0
3,-0.5320972521515119,6,0
3,-0.5320972521515119,7,0
4,0.5302789379767274,0,5000
4,0.5302789379767274,1,0
4,0.5302789379767274,2,0
4,0.5302789379767274,3,0
4,0.5302789379767274,4,0
4,0.5302789379767274,5,0
4,0.5302789379767274,6,0
4,0.5302789379767274,7,0
5,2.085881879813549,0,5000
5,2.085881879813549,1,0
5,2.085881879813549,2,0
5,2.085881879813549,3,0
5,2.085881879813549,4,0
5,2.085881879813549,5,0
5,2.085881879813549,6,0
5,2.085881879813549,7,0
6,2.259199857357965,0,5000
6,2.259199857357965,1,0
6,2.259199857357965,2,0
6,2.259199857357965,3,0
6,2.259199857357965,4,0
6,2.259199857357965,5,0
6,2.259199857357965,6,0
6,2.259199857357965,7,0
7,3.619541865289025,0,5000
7,3.619541865289025,1,0
7,3.619541865289025,2,0
7,3.619541865289025,3,0
7,3.619541865289025,4,0
7,3.619541865289025,5,0
7,3.619541865289025,6,0
7,3.619541865289025,7,0
8,2.540983791796217,0,5000
8,2.540983791796217,1,0
8,2.540983791796217,2,0
8,2.540983791796217,3,0
8,2.540983791796217,4,0
8,2.540983791796217,5,0
8,2.540983791796217,6,0
8,2.540983791796217,7,0
9,1.962963182658316,0,5000
9,1.962963182658316,1,0
9,1.962963182658316,2,0
9,1.962963182658316,3,0
9,1.962963182658316,4,0
9,1.962963182658316,5,0
9,1.962963182658316,6,0
9,1.962963182658316,7,0
10,0.8402021903168757,0,5000
10,0.8402021903168757,1,0
10,0.8402021903168757,2,0
10,0.8402021903168757,3,0
10,0.8402021903168757,4,0
10,0.8402021903168757,5,0
10,0.8402021903168757,6,0
10,0.8402021903168757,7,0
11,2.45286736417332,0,5000
11,2.45286736417332,1,0
11,2.45286736417332,2,0
11,2.45286736417332,3,0
11,2.45286736417332,4,0
11,2.45286736417332,5,0
11,2.45286736417332,6,0
11,2.45286736417332,7,0
12,-1.846766501494765,0,5000
12,-1.846766501494765,1,0
12,-1.846766501494765,2,0
12,-1.846766501494765,3,0
12,-1.846766501494765,4,0
12,-1.846766501494765,5,0
12,-1.846766501494765,6,0
12,-1.846766501494765,7,0
13,4.657869826870648,0,5000
13,4.657869826870648,1,0
13,4.657869826870648,2,0
13,4.657869826870648,3,0
13,4.657869826870648,4,0
13,4.657869826870648,5,0
13,4.657869826870648,6,0
13,4.657869826870648,7,0
14,1.621561773033366,0,5000
14,1.621561773033366,1,0
14,1.621561773033366,2,0
14,1.621561773033366,3,0
14,1.621561773033366,4,0
14,1.621561773033366,5,0
14,1.621561773033366,6,0
14,1.621561773033366,7,0
15,0.113996928270179,0,5000
15,0.113996928270179,1,0
15,0.113996928270179,2,0
15,0.113996928270179,3,0
15,0.113996928270179,4,0
15,0.113996928270179,5,0
15,0.113996928270179,6,0
15,0.113996928270179,7,0
16,-2.587979378112351,0,5000
16,-2.587979378112351,1,0
16,-2.587979378112351,2,0
16,-2.587979378112351,3,0
16,-2.587979378112351,4,0
16,-2.587979378112351,5,0
16,-2.587979378112351,6,0
16,-2.587979378112351,7,0
17,-1.221546697992853,0,5000
17,-1.221546697992853,1,0
17,-1.221546697992853,2,0
17,-1.221546697992853,3,0
17,-1.221546697992853,4,0
17,-1.221546697992853,5,0
17,-1.221546697992853,6,0
17,-1.221546697992853,7,0
18,-3.612139270047869,0,5000
18,-3.612139270047869,1,0
18,-3.612139270047869,2,0
18,-3.612139270047869,3,0
18,-3.612139270047869,4,0
18,-3.612139270047869,5,0
18,-3.612139270047869,6,0
18,-3.612139270047869,7,0
19,4.654506918806486,0,5000
19,4.654506918806486,1,0
19,4.654506918806486,2,0
19,4.654506918806486,3,0
19,4.654506918806486,4,0
19,4.654506918806486,5,0
19,4.654506918806486,6,0
19,4.654506918806486,7,0
20,-1.800340255932407,0,5000
20,-1.800340255932407,1,0
20,-1.800340255932407,2,0
20,-1.800340255932407,3,0
20,-1.800340255932407,4,0
20,-1.800340255932407,5,0
20,-1.800340255932407,6,0
20,-1.800340255932407,7,0
21,-1.084206260470526,0,5000
21,-1.084206260470526,1,0
