model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_4,0,kon_0,Log10,15.9800000000000022,1.20357677497797266,2
scheme_4,1,koff_0,Log10,0.0189999999999999961,-1.72124639904717114,2
scheme_4,2,kon_1,Log10,16.3000000000000043,1.2121876044039579,2
scheme_4,3,koff_1,Log10,379.999999999999943,2.57978359661681012,2
scheme_4,4,kon_2,Log10,11.6000000000000032,1.06445798922691859,2
scheme_4,5,koff_2,Log10,6822.00000000000364,3.83391171507137862,2
scheme_4,6,flipping_on,Log10,3717.99999999999864,3.57030938543587961,2
scheme_4,7,flipping_off,Log10,43.539999999999992,1.63888842470507545,2
scheme_4,8,gating_on_0,Log10,540.000000000000114,2.73239375982296862,2
scheme_4,9,gating_off_0,Log10,1088.00000000000023,3.03662889536216118,2
scheme_4,10,gating_on_1,Log10,0.0330000000000000016,-1.48148606012211248,2
scheme_4,11,gating_off_1,Log10,0.245999999999999969,-0.609064892896620913,2
scheme_4,12,desensitization_on_0,Log10,31.1599999999999966,1.49359744900052682,2
scheme_4,13,desensitization_off_0,Log10,78.9999999999999858,1.89762709129044138,2
scheme_4,14,desensitization_on_1,Log10,4.53000000000000025,0.656098202012831866,2
scheme_4,15,unitary_current,Log10,1,0,2
scheme_4,16,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_4,17,Pink_Noise,Fixed,0,0,0
scheme_4,18,Proportional_Noise,Fixed,0,0,0
scheme_4,19,Current_Baseline,Linear,1,1,2
scheme_4,20,Num_ch_mean,Log10,4999.99999999999909,3.69897000433601875,2
