model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_5_inact,0,Binding_on,Log10,5.84999999999999964,0.767155866082180449,2
scheme_5_inact,1,Binding_off,Log10,189.999999999999943,2.27875360095282886,2
scheme_5_inact,2,Gating_on,Log10,768.999999999999886,2.88592633980143098,2
scheme_5_inact,3,Gating_off,Log10,10.1999999999999993,1.00860017176191752,2
scheme_5_inact,4,BG,Log10,223.696000000000026,2.34965821836815802,2
scheme_5_inact,5,BG_0,Log10,4.50999999999999979,0.654176541877960482,2
scheme_5_inact,6,BG_1,Log10,4.58000000000000007,0.660865478003869189,2
scheme_5_inact,7,Gating_Current,Log10,1,0,2
scheme_5_inact,8,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_5_inact,9,Pink_Noise,Log10,5.00000000000000089,0.698970004336018857,2
scheme_5_inact,10,Proportional_Noise,Fixed,0,0,0
scheme_5_inact,11,Current_Baseline,Linear,1,1,2
scheme_5_inact,12,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
scheme_5_inact,13,inactivation_rate,Log10,3.0e-4,-3.52287874528033740,2
