model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_10,0,Binding_on,Log10,10,1
scheme_10,1,Binding_off,Log10,10000,4
scheme_10,2,Rocking_on,Log10,10000,4
scheme_10,3,Rocking_off,Log10,100,2
scheme_10,4,RB,Log10,10,1
scheme_10,5,RB_0,Log10,1,0
scheme_10,6,RB_1,Log10,1,0
scheme_10,7,BR,Log10,10,1
scheme_10,8,BR_0,Log10,1,0
scheme_10,9,BR_1,Log10,1,0
scheme_10,10,Rocking_Current_factor,Log10,10,1
scheme_10,11,Leakeage_current_ratio,Log10,1e-06,-6
scheme_10,12,Gating_Current,Log10,1,0
scheme_10,13,Current_Noise,Log10,0.001,-3
scheme_10,14,Pink_Noise,Log10,5,0.6989700043360189
scheme_10,15,Proportional_Noise,Log10,0.01,-2
scheme_10,16,Current_Baseline,Log10,1,0
scheme_10,17,Num_ch,Log10,4800,3.681241237375587
