model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_11,0,Binding_on,Log10,10,1,2
scheme_11,1,Binding_off,Log10,100,2,2
scheme_11,2,Rocking_on,Log10,100,2,2
scheme_11,3,Rocking_off,Log10,100,2,2
scheme_11,4,RB,Log10,100,2,2
scheme_11,5,RB_0,Log10,1,0,2
scheme_11,6,RB_1,Log10,1,0,2
scheme_11,7,BR,Log10,10,1,2
scheme_11,8,BR_0,Log10,1,0,2
scheme_11,9,BR_1,Log10,1,0,2
scheme_11,10,RBR,Log10,1,0,2
scheme_11,11,RBR_0,Log10,1,0,2
scheme_11,12,RBR_1,Log10,1,0,2
scheme_11,13,RBR_2,Log10,1,0,2
scheme_11,14,Rocking_Current_factor,Log10,10,1,2
scheme_11,15,Leakeage_current_ratio,Log10,9.99999999999999955e-07,-6,2
scheme_11,16,Gating_Current,Log10,1,0,2
scheme_11,17,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_11,18,Pink_Noise,Fixed,0,0,0
scheme_11,19,Proportional_Noise,Fixed,0,0,0
scheme_11,20,Current_Baseline,Log10,1,0,2
scheme_11,21,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
