model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_12,0,Binding_on,Log10,10,1,2
scheme_12,1,Binding_off,Log10,100,2,2
scheme_12,2,Rocking_on,Log10,100,2,2
scheme_12,3,Rocking_off,Log10,100,2,2
scheme_12,4,Gating_on,Log10,100,2,2
scheme_12,5,Gating_off,Log10,100,2,2
scheme_12,6,RBR,Log10,10,1,2
scheme_12,7,RBR_0,Log10,1,0,2
scheme_12,8,RBR_1,Log10,1,0,2
scheme_12,9,RBR_2,Log10,1,0,2
scheme_12,10,RG,Log10,100,2,2
scheme_12,11,RG_0,Log10,10,1,2
scheme_12,12,RG_1,Log10,10,1,2
scheme_12,13,Gating_Current,Log10,1,0,2
scheme_12,14,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_12,15,Pink_Noise,Log10,5.00000000000000089,0.698970004336018857,2
scheme_12,16,Proportional_Noise,Fixed,0,0,0
scheme_12,17,Current_Baseline,Log10,1,0,2
scheme_12,18,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
