model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean
scheme_2_inact,0,kon,Log10,7.9,0.8976270912904414
scheme_2_inact,1,koff,Log10,121,2.08278537031645
scheme_2_inact,2,flipping_on,Log10,632,2.800717078282385
scheme_2_inact,3,flipping_off,Log10,42.1,1.624282095835668
scheme_2_inact,4,gating_on,Log10,382,2.582063362911709
scheme_2_inact,5,gating_off,Log10,1100,3.041392685158225
scheme_2_inact,6,unitary_current,Log10,1,0
scheme_2_inact,7,Current_Noise,Log10,0.001,-3
scheme_2_inact,8,Pink_Noise,Log10,5,0.6989700043360189
scheme_2_inact,9,Proportional_Noise,Log10,0.01,-2
scheme_2_inact,10,Current_Baseline,Log10,1,0
scheme_2_inact,11,Num_ch_mean,Log10,5000,3.698970004336019
scheme_2_inact,12,inactivation_rate,Log10,1e-05,-5
