model_name,i_par,parameter_name,parameter_transformation,parameter_value,transformed_mean,transformed_variance
scheme_8,0,Binding_on,Log10,10,1,2
scheme_8,1,Binding_off,Log10,100,2,2
scheme_8,2,Rocking_on,Log10,100,2,2
scheme_8,3,Rocking_off,Log10,100,2,2
scheme_8,4,RBR,Log10,100,2,2
scheme_8,5,RBR_0,Log10,10,1,2
scheme_8,6,RBR_1,Log10,10,1,2
scheme_8,7,RBR_2,Log10,10,1,2
scheme_8,8,Rocking_Current_factor,Log10,100,2,2
scheme_8,9,Leakeage_current_ratio,Log10,9.99999999999999955e-07,-6,2
scheme_8,10,Gating_Current,Log10,1,0,2
scheme_8,11,Current_Noise,Log10,0.00100000000000000002,-3,2
scheme_8,12,Pink_Noise,Log10,5.00000000000000089,0.698970004336018857,2
scheme_8,13,Proportional_Noise,Log10,0.0100000000000000002,-2,2
scheme_8,14,Current_Baseline,Log10,1,0,2
scheme_8,15,Num_ch,Log10,4799.99999999999909,3.68124123737558717,2
